:ID;journal:string
12649738;Chic. J. Theor. Comput. Sci.
12649739;Int. J. Adv. Comp. Techn.
12649740;Int. J. Mob. Commun.
12649741;IPSJ Trans. Syst. LSI Des. Methodol.
12649742;Electron. J. Comb.
12649743;Int. J. Handheld Comput. Res.
12649744;IJHCR
12649745;Graph. Vis. Comput.
12649746;Comput. Graph. X
12649747;Asia Pac. J. Oper. Res.
12649748;Artif. Life
12649749;Real Time Imaging
12649750;IEEE Trans. Ind. Electron.
12649751;Open Syst. Inf. Dyn.
12649752;Digit. Investig.
12649753;Electron. Commer. Res.
12649754;Comput. Syst.
12649755;ACM Trans. Asian Lang. Inf. Process.
12649756;ACM Trans. Asian Low Resour. Lang. Inf. Process.
12649757;Datenbank-Spektrum
12649758;Linguamática
12649759;AI Matters
12649760;Cogn. Comput. Syst.
12649761;IET Inf. Secur.
12649762;Rev. d'Intelligence Artif.
12649763;Robotics Comput. Integr. Manuf.
12649764;Scand. J. Inf. Syst.
12649765;Int. J. Appl. Math. Comput. Sci.
12649766;J. Intell. Fuzzy Syst.
12649767;IEEE J. Solid State Circuits
12649768;ACM Trans. Multim. Comput. Commun. Appl.
12649769;Adv. Math. Commun.
12649770;ACM Journal on Computing and Cultural Heritage
12649771;Internet Things
12649772;Adv. Comput. Res.
12649773;IEEE Comput. Archit. Lett.
12649774;Online Inf. Rev.
12649775;Int. J. Comput. Sci. Sport
12649776;J. Data Semant.
12649777;Int. J. Cooperative Inf. Syst.
12649778;SN Comput. Sci.
12649779;Int. J. Interact. Commun. Syst. Technol.
12649780;Polibits
12649781;POLIBITS
12649782;WIREs Data Mining Knowl. Discov.
12649783;J. Internet Serv. Appl.
12649784;Adv. Artif. Intell. Mach. Learn.
12649785;J. Log. Algebraic Methods Program.
12649786;J. Log. Program.
12649787;J. Semant.
12649788;Networks Heterog. Media
12649789;J. Convergence Inf. Technol.
12649790;ACM Trans. Access. Comput.
12649791;Int. J. E Health Medical Commun.
12649792;ACM Trans. Spatial Algorithms Syst.
12649793;Gov. Inf. Q.
12649794;IEEE Trans. Medical Imaging
12649795;Hypermedia
12649796;J. Num. Math.
12649797;D Lib Mag.
12649798;IEEE Data Eng. Bull.
12649799;IEEE Database Eng. Bull.
12649800;Ann. Oper. Res.
12649801;Intell. Syst. Account. Finance Manag.
12649802;Int. J. Sens. Networks
12649803;Netw. Commun. Technol.
12649804;GetMobile Mob. Comput. Commun.
12649805;ACM SIGMOBILE Mob. Comput. Commun. Rev.
12649806;J. Robotics
12649807;J. Biomed. Semant.
12649808;Int. J. Grid Util. Comput.
12649809;Int. J. Inf. Sec.
12649810;Int. J. Knowl. Discov. Bioinform.
12649811;Int. J. Appl. Cryptogr.
12649812;Inf. Vis.
12649813;Int. J. E Adopt.
12649814;IET Softw.
12649815;Softw. Eng. J.
12649816;IEE Proc. Softw.
12649817;IEE Proc. Softw. Eng.
12649818;Comput. Electron. Agric.
12649819;Cryptologia
12649820;Mach. Learn. Knowl. Extr.
12649821;J. Mach. Learn. Res.
12649822;Int. J. Appl. Pattern Recognit.
12649823;J. Digit. Forensic Pract.
12649824;Int. J. Inf. Syst. Soc. Chang.
12649825;Frontiers Appl. Math. Stat.
12649826;Compositionality
12649827;IEEE Trans. Emerg. Top. Comput. Intell.
12649828;Int. J. Creative Comput.
12649829;J. Inf. Technol. Theory Appl.
12649830;Int. J. Game Based Learn.
12649831;Int. J. Prod. Res.
12649832;Algorithmic Oper. Res.
12649833;Photonic Netw. Commun.
12649834;Veh. Commun.
12649835;J. Quantum Inf. Sci.
12649836;Trait. Autom. des Langues
12649837;Int. J. Algebra Comput.
12649838;Int. J. Intell. Sci.
12649839;J. Integr. Des. Process. Sci.
12649840;Trans. SDPS
12649841;Int. J. Online Mark.
12649842;IEEE Comput. Intell. Mag.
12649843;ACM SIGPLAN Notices
12649844;Auton. Robots
12649845;Int. J. Internet Protoc. Technol.
12649846;Int. J. Chemoinformatics Chem. Eng.
12649847;Int. J. Multim. Intell. Secur.
12649848;IEEE Internet Comput.
12649849;J. Innov. Digit. Ecosyst.
12649850;ISPRS Int. J. Geo Inf.
12649851;Technol. Knowl. Learn.
12649852;Int. J. Comput. Math. Learn.
12649853;Ad Hoc Sens. Wirel. Networks
12649854;Pers. Ubiquitous Comput.
12649855;IEEE Geosci. Remote. Sens. Lett.
12649856;Ind. Robot
12649857;Int. J. ICT Res. Afr. Middle East
12649858;J. Inf. Sci. Eng.
12649859;Ann. UMCS Informatica
12649860;Optim. Methods Softw.
12649861;IEEE Trans. Evol. Comput.
12649862;eLearn Mag.
12649863;EAI Endorsed Trans. Wirel. Spectr.
12649864;Frontiers Virtual Real.
12649865;GeoInformatica
12649866;Adv. Complex Syst.
12649867;Trans. Edutainment
12649868;Trans. Pattern Lang. Program.
12649869;Intell. Decis. Technol.
12649870;Found. Trends Commun. Inf. Theory
12649871;J. Priv. Confidentiality
12649872;Entertain. Comput.
12649873;Netw. Secur.
12649874;J. Intell. Robotic Syst.
12649875;J. Comput. Inf. Syst.
12649876;IMA J. Math. Control. Inf.
12649877;Acta Cybern.
12649878;Future Internet
12649879;ACM Trans. Priv. Secur.
12649880;ACM Trans. Inf. Syst. Secur.
12649881;J. Sens. Technol.
12649882;Space Commun.
12649883;Int. J. Sociotechnology Knowl. Dev.
12649884;Int. J. Cloud Appl. Comput.
12649885;Semantic Web
12649886;Synth.
12649887;J. Cloud Comput.
12649888;IFAC J. Syst. Control.
12649889;Adv. Comput.
12649890;Unmanned Syst.
12649891;Comput. Inf. Sci.
12649892;Order
12649893;IET Biom.
12649894;J. Virtual Real. Broadcast.
12649895;Dialogue Discourse
12649896;ACM Trans. Math. Softw.
12649897;Kybernetika
12649898;Appl. Artif. Intell.
12649899;Int. J. Inf. Qual.
12649900;ACM Trans. Reconfigurable Technol. Syst.
12649901;Public Libr. Q.
12649902;SIAM J. Optim.
12649903;Smart Learn. Environ.
12649904;Int. J. Intell. Games Simul.
12649905;INFORMS J. Comput.
12649906;Electron. Gov. an Int. J.
12649907;IEEE Commun. Stand. Mag.
12649908;IEEE Cloud Comput.
12649909;Remote. Sens.
12649910;EAI Endorsed Trans. e Learn.
12649911;Inform. Forsch. Entwickl.
12649912;Comput. Sci. Res. Dev.
12649913;SICS Softw.-Intensive Cyber Phys. Syst.
12649914;Complex Adapt. Syst. Model.
12649915;Inf. Secur. J. A Glob. Perspect.
12649916;Int. J. Emerg. Technol. Learn.
12649917;Int. J. Netw. Manag.
12649918;Found. Trends Stoch. Syst.
12649919;Int. J. Comput. Math.
12649920;Found. Trends Netw.
12649921;J. Electronic Imaging
12649922;Found. Trends Electron. Des. Autom.
12649923;Cryptogr.
12649924;Electron. Mark.
12649925;Frontiers Robotics AI
12649926;Electron. Notes Theor. Comput. Sci.
12649927;Softw. Microsystems
12649928;Secur. Informatics
12649929;Int. J. Comput. Support. Collab. Learn.
12649930;Finite Fields Their Appl.
12649931;VLSI Design
12649932;Am. J. Comput. Math.
12649933;Int. J. Comput. Simul.
12649934;Inf. Process. Lett.
12649935;Comput. Informatics
12649936;Comput. Artif. Intell.
12649937;Computers and Artificial Intelligence
12649938;Neuroinformatics
12649939;Concurr. Comput. Pract. Exp.
12649940;Concurr. Pract. Exp.
12649941;Auton. Intell. Syst.
12649942;IEEE Trans. Mob. Comput.
12649943;Int. J. Energy Optim. Eng.
12649944;J. Intell. Transp. Syst.
12649945;Int. J. Virtual Real.
12649946;EAI Endorsed Trans. Energy Web
12649947;J. Geogr. Inf. Syst.
12649948;Math. Program. Comput.
12649949;Int. J. Inf. Priv. Secur. Integr.
12649950;J. Vis. Commun. Image Represent.
12649951;R J.
12649952;Balt. J. Mod. Comput.
12649953;Int. J. Agent Oriented Softw. Eng.
12649954;Distributed Syst. Eng.
12649955;Int. J. Wirel. Inf. Networks
12649956;J. ICT Stand.
12649957;RAIRO Oper. Res.
12649958;Stat. Comput.
12649959;Discuss. Math. Graph Theory
12649960;Int. J. Law Inf. Technol.
12649961;Int. J. People Oriented Program.
12649962;Central Eur. J. Oper. Res.
12649963;J. Symb. Log.
12649964;ACM Trans. Knowl. Discov. Data
12649965;Knowl. Eng. Rev.
12649966;ACM Stand.
12649967;Frontiers Digit. Humanit.
12649968;Image Vis. Comput.
12649969;J. Inf. Process.
12649970;Signal Process.
12649971;J. Multimodal User Interfaces
12649972;HMD Prax. Wirtsch.
12649973;Health Informatics J.
12649974;OOPS Messenger
12649975;Traitement du Signal
12649976;Found. Trends Databases
12649977;Monde des Util. Anal. Données
12649978;IEEE Trans. Reliab.
12649979;Int. J. Fog Comput.
12649980;ACM Trans. Internet Things
12649981;Int. J. Netw. Secur.
12649982;ISC Int. J. Inf. Secur.
12649983;Wasserwirtsch.
12649984;Prague Bull. Math. Linguistics
12649985;InnovaInt. J. Actor Netw. Theory Technol. Innov.
12649986;Int. J. Organ. Collect. Intell.
12649987;Int. J. ICT Res. Dev. Afr.
12649988;Frontiers Inf. Technol. Electron. Eng.
12649989;J. Zhejiang Univ. Sci. C
12649990;Tiny Trans. Comput. Sci.
12649991;PsychNology J.
12649992;Int. J. Web Appl.
12649993;Int. J. Appl. Geospat. Res.
12649994;IET Wirel. Sens. Syst.
12649995;Int. J. Art Cult. Des. Technol.
12649996;Parallel Process. Lett.
12649997;Int. J. Online Pedagog. Course Des.
12649998;Int. J. Manuf. Res.
12649999;Trans. High Perform. Embed. Archit. Compil.
12650000;Empir. Softw. Eng.
12650001;J. Object Technol.
12650002;Int. J. Intell. Syst.
12650003;Int. J. E Entrepreneurship Innov.
12650004;J. Math. Model. Algorithms Oper. Res.
12650005;J. Math. Model. Algorithms
12650006;EURO J. Comput. Optim.
12650007;Int. J. Artif. Intell. Educ.
12650008;ACM Trans. Comput. Log.
12650009;Phonetica
12650010;Int. J. Interact. Mob. Technol.
12650011;Comput. Optim. Appl.
12650012;EAI Endorsed Trans. Complex Syst.
12650013;Signal Image Video Process.
12650014;Data Min. Knowl. Discov.
12650015;Commun. Inf. Syst.
12650016;Auton. Agents Multi Agent Syst.
12650017;Multidimens. Syst. Signal Process.
12650018;Open J. Internet Things
12650019;IET Blockchain
12650020;Int. J. Model. Simul. Sci. Comput.
12650021;J. Clin. Bioinform.
12650022;Inf. Res.
12650023;J. Comput. Inf. Technol.
12650024;Int. J. Cogn. Informatics Nat. Intell.
12650025;Comput. Educ. Artif. Intell.
12650026;SIAM J. Numer. Anal.
12650027;Brain Connect.
12650028;Wirtschaftsinformatik Manag.
12650029;IEEE Embed. Syst. Lett.
12650030;Cogn. Comput.
12650031;IEEE Micro
12650032;Math. Morphol. Theory Appl.
12650033;Dagstuhl Artifacts Ser.
12650034;J. Multiple Valued Log. Soft Comput.
12650035;Int. J. Technol. Hum. Interact.
12650036;IEEE Trans. Wirel. Commun.
12650037;J. Quant. Linguistics
12650038;ACM J. Data Inf. Qual.
12650039;J. Cyber Secur. Mobil.
12650040;Kybernetes
12650041;Evol. Comput.
12650042;Adv. Decis. Sci.
12650043;Softw. Syst. Model.
12650044;IEEE Trans. Serv. Comput.
12650045;Int. J. Knowl. Manag.
12650046;Int. J. Signs Semiot. Syst.
12650047;Complex Syst.
12650048;Intell. Autom. Soft Comput.
12650049;Int. J. Inf. Technol. Web Eng.
12650050;IEEE Open J. Commun. Soc.
12650051;Comput. Networks
12650052;Comput. Networks ISDN Syst.
12650053;Math. Control. Signals Syst.
12650054;Genom. Proteom. Bioinform.
12650055;IEEE Trans. Mol. Biol. Multi Scale Commun.
12650056;Softwaretechnik-Trends
12650057;Found. Comput. Math.
12650058;Electron. Trans. Artif. Intell.
12650059;Inf. Sci.
12650060;Pattern Recognit.
12650061;RITA
12650062;Künstliche Intell.
12650063;Integr.
12650064;Adv. Fuzzy Syst.
12650065;AI Commun.
12650066;World Wide Web
12650067;Open J. Cloud Comput.
12650068;Top. Cogn. Sci.
12650069;Softw. Focus
12650070;J. Stat. Theory Appl.
12650071;Math. Struct. Comput. Sci.
12650072;Frontiers ICT
12650073;Numer. Linear Algebra Appl.
12650074;Frontiers Comput. Neurosci.
12650075;IET Image Process.
12650076;Comput. Methods Appl. Math.
12650077;Datenbank Rundbr.
12650078;GI Datenbank Rundbrief
12650079;Datenbank Rundbrief
12650080;Int. J. Reconfigurable Comput.
12650081;Syst. Eng.
12650082;Int. J. Cyber Situational Aware.
12650083;IEEE Commun. Mag.
12650084;Image Process. Line
12650085;Iran J. Comput. Sci.
12650086;IEEE Trans. Cloud Comput.
12650087;Appl. Comput. Syst.
12650088;Proc. Priv. Enhancing Technol.
12650089;Int. J. Inf. Secur. Priv.
12650090;Grey Syst. Theory Appl.
12650091;Int. J. Autom. Comput.
12650092;World Digit. Libr.
12650093;J. Cogn. Neurosci.
12650094;Int. J. Pattern Recognit. Artif. Intell.
12650095;Inroads
12650096;Oper. Res.
12650097;Appl. Ontology
12650098;Int. J. Comput. Sci. Math.
12650099;IEEE Trans. Aerosp. Electron. Syst.
12650100;ACM Commun. Comput. Algebra
12650101;SIGSAM Bull.
12650102;Algorithms Mol. Biol.
12650103;Comb. Probab. Comput.
12650104;Multiagent Grid Syst.
12650105;Comput. Stat. Data Anal.
12650106;J. Ambient Intell. Humaniz. Comput.
12650107;J. Commun.
12650108;J. Comput. Inf. Sci. Eng.
12650109;Adv. Eng. Softw.
12650110;Trans. Large Scale Data Knowl. Centered Syst.
12650111;SIGHIT Rec.
12650112;SoftwareX
12650113;Egypt. Comput. Sci. J.
12650114;Int. J. Web Portals
12650115;IEEE Access
12650116;EURASIP J. Audio Speech Music. Process.
12650117;Int. J. Inf. Manag.
12650118;J. Sensors
12650119;Comput. Support. Cooperative Work.
12650120;Frontiers Res. Metrics Anal.
12650121;J. Educ. Technol. Soc.
12650122;Expert Syst. Appl. X
12650123;J. Int. Comput. Games Assoc.
12650124;Multim. Syst.
12650125;Evol. Intell.
12650126;IT Prof.
12650127;J. Comput. Neurosci.
12650128;IEEE Internet Things J.
12650129;Obj. Logiciel Base données Réseaux
12650130;Formaliz. Math.
12650131;Requir. Eng.
12650132;Int. J. Adv. Media Commun.
12650133;Univers. Access Inf. Soc.
12650134;New Gener. Comput.
12650135;JSIAM Lett.
12650136;Int. J. Strateg. Inf. Technol. Appl.
12650137;Comput. Oper. Res.
12650138;Found. Trends Microeconomics
12650139;Found. Trends Robotics
12650140;Int. J. Serv. Sci. Manag. Eng. Technol.
12650141;Autom.
12650142;Ann. GIS
12650143;J. Comput. Sci. Technol.
12650144;IEEE Trans. Very Large Scale Integr. Syst.
12650145;Int. J. Intell. Def. Support Syst.
12650146;J. Supercomput.
12650147;IEEE Concurr.
12650148;IEEE Parallel Distributed Technol. Syst. Appl.
12650149;IEEE Concurrency
12650150;Monte Carlo Methods Appl.
12650151;Comput. Humanit.
12650152;Lang. Resour. Evaluation
12650153;Int. J. High Perform. Syst. Archit.
12650154;IEEE Trans. Instrum. Meas.
12650155;Libr. Hi Tech
12650156;Ad Hoc Networks
12650157;Int. J. Comput. Intell. Stud.
12650158;J. Ambient Intell. Smart Environ.
12650159;Data Sci.
12650160;IEEE Trans. Learn. Technol.
12650161;Int. J. Inf. Process. Manag.
12650162;J. Softw. Eng. Appl.
12650163;Technol. Anal. Strateg. Manag.
12650164;J. Inf. Data Manag.
12650165;Qual. Reliab. Eng. Int.
12650166;Elektrotech. Informationstechnik
12650167;Interactions
12650168;FLAP
12650169;J. Multim.
12650170;Int. J. Digit. Curation
12650171;Math. Comput. Simul.
12650172;J. Comput. Chem.
12650173;Int. J. Uncertain. Fuzziness Knowl. Based Syst.
12650174;Neural Process. Lett.
12650175;Int. J. Syst. Softw. Secur. Prot.
12650176;J. Softw.
12650177;Int. J. Comput. Games Technol.
12650178;Dagstuhl Reports
12650179;Proc. ACM Hum. Comput. Interact.
12650180;Discret. Math. Theor. Comput. Sci.
12650181;Int. J. Recent Contributions Eng. Sci. IT
12650182;Int. J. Trust. Manag. Comput. Commun.
12650183;Found. Trends Signal Process.
12650184;Simul. Notes Eur.
12650185;Comput. Sci. Inf. Syst.
12650186;ACM Trans. Economics and Comput.
12650187;Pattern Recognit. Lett.
12650188;J. Lang. Model.
12650189;SIAM J. Appl. Dyn. Syst.
12650190;Paladyn J. Behav. Robotics
12650191;Astron. Comput.
12650192;Int. J. Inf. Coding Theory
12650193;Int. J. Wirel. Mob. Comput.
12650194;BMC Genom.
12650195;Int. J. Web Serv. Res.
12650196;LNCS Trans. Found. Mastering Chang.
12650197;Trans. Int. Soc. Music. Inf. Retr.
12650198;Comput. Complex.
12650199;J. Hardw. Syst. Secur.
12650200;Real Time Syst.
12650201;Int. J. Auton. Comput.
12650202;Struct. Program.
12650203;Softw. Concepts Tools
12650204;IEEE Trans. Ind. Informatics
12650205;Int. J. Child Comput. Interact.
12650206;Expert Syst. J. Knowl. Eng.
12650207;Cryptogr. Commun.
12650208;Adv. Artif. Intell.
12650209;ACM Trans. Algorithms
12650210;Adv. Oper. Res.
12650211;J. Oper. Res. Soc.
12650212;Games Cult.
12650213;Comput. Aided Geom. Des.
12650214;J. Cryptogr. Eng.
12650215;Integers
12650216;J. Classif.
12650217;Adv. Appl. Math.
12650218;Int. J. Distributed Syst. Technol.
12650219;Int. J. Electron. Secur. Digit. Forensics
12650220;Aslib Proc.
12650221;Aslib J. Inf. Manag.
12650222;Syst.
12650223;Comput. Math. Organ. Theory
12650224;J. Inf. Technol. Educ. Innov. Pract.
12650225;AI Soc.
12650226;Computerworld
12650227;Int. J. Bus. Inf. Syst.
12650228;Biosyst.
12650229;Int. J. Arts Technol.
12650230;BIT
12650231;Comput. Commun.
12650232;Int. J. Embed. Syst.
12650233;IEEE Ann. Hist. Comput.
12650234;Data Sci. Eng.
12650235;Multim. Tools Appl.
12650236;Adv. Numer. Anal.
12650237;Trans. Comp. Sys. Biology
12650238;Grammars
12650239;IEEE ACM Trans. Comput. Biol. Bioinform.
12650240;ACM SIGCHI Bull.
12650241;Res. Comput. Sci.
12650242;J. Theor. Appl. Electron. Commer. Res.
12650243;ACM SIGSPATIAL Special
12650244;Int. J. Spatial Data Infrastructures Res.
12650245;Organ. Sci.
12650246;Comput. Softw. Big Sci.
12650247;IEEE Trans. Comput. Soc. Syst.
12650248;J. Complex Networks
12650249;Appl. Categorical Struct.
12650250;EAI Endorsed Trans. Pervasive Health Technol.
12650251;Comput. Medical Imaging Graph.
12650252;Quant. Biol.
12650253;J. Digit. Content Technol. its Appl.
12650254;J. Cryptol.
12650255;IEEE Trans. Emerg. Top. Comput.
12650256;ERCIM News
12650257;J. Comput. Sci.
12650258;J. Intell. Inf. Syst.
12650259;Int. J. e Collab.
12650260;Appl. Algebra Eng. Commun. Comput.
12650261;IEEE Open J. Comput. Soc.
12650262;Int. J. Digit. Libr.
12650263;Big Data Min. Anal.
12650264;Int. J. Virtual Communities Soc. Netw.
12650265;Informatics Educ.
12650266;Int. J. Comput. Process. Orient. Lang.
12650267;Reliab. Eng. Syst. Saf.
12650268;Int. J. Crit. Infrastructure Prot.
12650269;J. Signal Inf. Process.
12650270;Int. J. Wavelets Multiresolution Inf. Process.
12650271;Rev. Int. Géomatique
12650272;Int. J. Embed. Real Time Commun. Syst.
12650273;ACM Trans. Comput. Syst.
12650274;Appl. Math. Comput.
12650275;Decis. Anal.
12650276;Int. J. Comput. Vis. Robotics
12650277;Int. J. Unconv. Comput.
12650278;Inf. Syst. E Bus. Manag.
12650279;Speech Commun.
12650280;Speech Communication
12650281;Int. J. Intell. Inf. Technol.
12650282;Theory Comput.
12650283;Int. J. Semantic Web Inf. Syst.
12650284;SIGBED Rev.
12650285;OR Spectr.
12650286;IEICE Trans. Commun.
12650287;J. Adv. Eng. Comput.
12650288;Cogn. Technol. Work.
12650289;J. Biomed. Informatics X
12650290;IEICE Trans. Inf. Syst.
12650291;IEICE Trans. Fundam. Electron. Commun. Comput. Sci.
12650292;IEICE Trans. Electron.
12650293;Int. J. Syst. Dyn. Appl.
12650294;EURASIP J. Embed. Syst.
12650295;J. Interconnect. Networks
12650296;Int. J. Appl. Evol. Comput.
12650297;Int. J. Bus. Data Commun. Netw.
12650298;Circuits Syst. Signal Process.
12650299;Medical Image Anal.
12650300;Argument Comput.
12650301;Int. Trans. Oper. Res.
12650302;J. Univers. Comput. Sci.
12650303;Annu. Rev. Inf. Sci. Technol.
12650304;J. Intell. Learn. Syst. Appl.
12650305;J. Comput. Aided Mol. Des.
12650306;J. Integer Seq.
12650307;BMC Bioinform.
12650308;J. Comput. Networks Commun.
12650309;Int. J. Perform. Eng.
12650310;Math. Comput. For. Nat. Resour. Sci.
12650311;J. Reliab. Intell. Environ.
12650312;Datenschutz und Datensicherheit
12650313;Bull. ICA
12650314;Digit. Creativity
12650315;Intell. Tutoring Media
12650316;Eng. Lett.
12650317;Int. J. Aviat. Technol. Eng. Manag.
12650318;IBM J. Res. Dev.
12650319;IET Circuits Devices Syst.
12650320;Optim. Lett.
12650321;Int. J. Electron. Gov. Res.
12650322;Int. J. Open Source Softw. Process.
12650323;Inf. Technol. Dev.
12650324;J. Strateg. Inf. Syst.
12650325;Open J. Web Technol.
12650326;Array
12650327;J. Robotics Mechatronics
12650328;Distributed Comput.
12650329;Rev. Socionetwork Strateg.
12650330;Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.
12650331;ACM Trans. Web
12650332;Axioms
12650333;Intelligenza Artificiale
12650334;Int. J. Adult Vocat. Educ. Technol.
12650335;IISE Trans.
12650336;Int. J. Meas. Technol. Instrum. Eng.
12650337;IEEE Trans. Cogn. Commun. Netw.
12650338;Neural Parallel Sci. Comput.
12650339;IEEE Trans. Geosci. Remote. Sens.
12650340;IET Comput. Digit. Tech.
12650341;IEEE Trans. Netw. Sci. Eng.
12650342;Int. J. Approx. Reason.
12650343;Frontiers Bioinform.
12650344;Tech. Sci. Informatiques
12650345;Int. J. Adv. Oper. Manag.
12650346;Trans. Mach. Learn. Data Min.
12650347;Found. Trends Syst. Control.
12650348;Adv. Hum. Comput. Interact.
12650349;Symmetry
12650350;Hum. Comput. Interact.
12650351;SIAM J. Sci. Comput.
12650352;Comput. Graph.
12650353;Int. J. Cloud Comput.
12650354;Int. J. Control
12650355;IMPACT Comput. Sci. Eng.
12650356;Int. J. Gaming Comput. Mediat. Simulations
12650357;SIAM J. Discret. Math.
12650358;Adv. Robotics
12650359;J. Wirel. Mob. Networks Ubiquitous Comput. Dependable Appl.
12650360;Eur. J. Control
12650361;SIGMETRICS Perform. Evaluation Rev.
12650362;Mach. Transl.
12650363;Trans. Data Sci.
12650364;NeuroImage
12650365;Int. J. Knowl. Eng. Soft Data Paradigms
12650366;Int. J. Comput. Syst. Signals
12650367;Found. Trends Web Sci.
12650368;Pac. Asia J. Assoc. Inf. Syst.
12650369;Rundbr. GI Fachgr. 5 10 Informationssystem Archit.
12650370;Acta Informatica
12650371;Int. J. Adv. Intell. Paradigms
12650372;J. Graph Algorithms Appl.
12650373;J. Electron. Publ.
12650374;J. Frankl. Inst.
12650375;Autom. Softw. Eng.
12650376;IEEE Trans. Circuits Syst. I Regul. Pap.
12650377;Int. J. Humanit. Arts Comput.
12650378;J. Digit. Inf.
12650379;Dagstuhl Manifestos
12650380;SIGART Bull.
12650381;SIGART Newsl.
12650382;Intell.
12650383;Acta Numer.
12650384;J. Object Oriented Program.
12650385;Ann. Math. Artif. Intell.
12650386;Data
12650387;IEEE Robotics Autom. Lett.
12650388;J. Field Robotics
12650389;Int. J. Bioinform. Res. Appl.
12650390;IEEE Trans. Circuits Syst. II Express Briefs
12650391;Comput. Commun. Rev.
12650392;J. Softw. Maintenance Res. Pract.
12650393;J. Softw. Evol. Process.
12650394;SIAM J. Math. Anal.
12650395;Int. J. Inf. Syst. Supply Chain Manag.
12650396;CAAI Trans. Intell. Technol.
12650397;Int. J. Big Data Intell. Appl.
12650398;Queueing Syst. Theory Appl.
12650399;Int. J. Bifurc. Chaos
12650400;Electron. Commer. Res. Appl.
12650401;EURASIP J. Wirel. Commun. Netw.
12650402;Int. J. Nat. Comput. Res.
12650403;Comput. Ind.
12650404;Netw. Inf. Syst. J.
12650405;Int. J. Technol. Diffusion
12650406;IEEE Trans. Smart Grid
12650407;Int. J. High Perform. Comput. Appl.
12650408;EAI Endorsed Trans. Cloud Syst.
12650409;Int. J. Syst. Sci.
12650410;Scholarpedia
12650411;Comput. Geom.
12650412;Int. J. Inf. Syst. Chang. Manag.
12650413;IEEE Wirel. Commun. Lett.
