references;referenced
598789;520826
1530371;1348836
984931;396328
749663;1469449
284180;1005427
1063848;1118428
247967;85772
1221552;184813
1210970;1174532
153873;363116
591848;1670048
1438690;1494332
1393918;1366722
671169;476394
768675;313239
804384;709763
209002;1248930
900300;1670048
1549602;824020
265079;1429480
714243;998294
1396951;444077
1747233;361416
1635983;1531151
308120;723740
1576099;1266808
1045715;1696001
1562509;1673282
555508;1448639
1798268;1039487
610698;309773
1295707;562991
1280042;539049
897687;1813111
671169;1588621
1337573;972797
2431;1180520
1564209;1472329
379597;11068
493438;477134
754613;485597
649244;1253601
1103989;1692996
1552804;184619
414512;621425
1424318;12993
408900;657635
573567;346441
1295707;1419645
805263;130022
275008;1268277
134560;302288
227494;1095886
771368;130022
503857;1348836
1600357;1450348
995020;1186722
1078805;1494849
976710;1358953
1023596;1547990
1019378;373515
1013871;739243
19779;1520693
936110;840705
712173;1660204
192638;128280
287040;1311723
1519977;1393469
1397698;1697743
401435;1426774
1562509;73508
1605931;506156
284180;1125027
1122808;1086356
1238551;1201854
1580328;728297
487783;559767
118881;821061
1362128;1446963
1180520;891461
94238;117599
43929;658272
448194;1365889
1581934;40133
820964;384603
1173719;899173
961605;1658827
1238551;804213
1714427;961605
1347062;959509
265079;1581160
1475397;1667187
1393252;1452876
309773;910438
1553690;891461
1543681;539040
1674;1354317
1768292;1424008
573567;900300
652103;340305
1424933;562991
143119;10889
482782;819435
1300333;11068
192638;1436831
1766988;609973
566695;359688
1315091;1660204
791645;1361815
958059;1361815
607982;45886
1472067;797742
738913;1031492
1118510;856447
351505;818681
255620;743434
954605;1047238
1333158;20175
449591;1627762
899173;1032599
77161;66914
1040562;154746
562665;927670
1508438;1713610
523061;820964
1027884;1456321
1709747;108390
193054;1693729
85772;800331
675534;317670
1367335;1435983
623325;111790
1549441;745926
1039240;1248930
1699105;1444155
1509457;2431
526827;658766
388674;1479521
940895;958059
700355;1327342
610698;1113407
1366722;609973
229287;754613
916564;1114802
199007;1688
13205;759219
175092;444077
1267893;451500
255620;601150
544946;41593
806442;1145009
214505;133010
1696001;653311
1216920;872221
520826;73508
11895;1114802
816299;1353487
1031492;1531151
1449637;107151
1124433;1416591
671725;682106
1693667;1250181
173821;38130
1626643;506323
1419368;1797556
706759;579773
1807198;184619
85772;313239
1782287;1061598
1549638;1576864
33279;1300418
1039240;302370
437115;1395493
161623;1768292
763243;346441
1768292;1448546
1475560;1292974
82554;29521
1106092;1333158
1549441;1114199
1798268;1560863
1470692;1152767
488010;1395487
423593;1681560
612191;1658827
1692481;192821
1501825;1716356
1479521;11796
1206203;1546088
768675;1736531
905794;65230
1560863;161623
529478;1771662
758481;1810055
1613350;1040444
852620;1799546
1484282;905619
217802;905619
222770;1007187
384603;1576036
499447;1031492
687619;523061
143119;749663
1030874;555508
493438;578238
1436831;303506
976710;661497
1768435;1267135
649244;1520693
193810;474464
1488658;35479
1382853;31888
1291882;357869
1692481;463804
628035;986644
1017254;910438
511208;1015068
765306;38130
767593;1619398
787986;562991
608567;581576
72147;193006
266910;273782
1115014;529914
978071;770958
770098;455583
1610527;1586710
1216920;905619
130022;539049
1599876;1658827
1437394;1329644
490820;71126
1715145;1436831
1038942;163357
1048746;742838
1103989;720048
1418546;1307349
805263;107151
1038942;1264496
584704;1019378
539040;1010600
374795;1667234
1657854;709763
56467;446155
995020;1453948
2431;260539
1005427;1803971
1288969;1546852
117599;86197
1699105;598886
1658645;1078805
254830;444631
1431138;922283
205867;573916
395173;1288969
847410;1415382
1416591;1086356
605810;770098
686859;1517802
1139710;1444155
1380946;1048746
1315091;723740
557224;274816
1442764;972797
1341035;598832
313502;1700909
236116;374795
630802;555508
73508;1268304
39294;1666515
557224;361368
366206;266910
1810017;1253795
976710;1494849
1319706;316117
163357;1448639
1411852;1435983
189951;72147
236116;1460658
515592;1810017
302949;390030
1288969;1205211
1438690;1071405
717609;489504
192821;1257502
1383834;1368903
1685597;161623
764940;778541
67582;759219
223055;669531
505060;161623
166310;521312
1235110;503214
1373283;1361815
876431;230160
897687;1369647
575280;1700909
618979;1632518
81804;1306805
348325;24270
1017447;821061
1040121;579573
445523;1448546
1685597;336255
1679810;1695053
693747;317536
222770;198536
896825;1239507
1456491;1208749
464794;1630115
1306805;1766746
246542;956042
128236;1494332
539917;849475
621898;1286905
929837;475113
1495587;1552663
1421983;374795
205867;1103989
99023;612191
252754;1002565
268777;210635
985654;1278913
766658;826519
1807198;121829
1061598;956042
1789024;1333795
60318;1235110
140240;1312587
197484;1248930
936110;723740
1669984;891461
1017447;956042
293295;1627507
1096597;1159246
1810017;1161795
15335;1466209
1311723;916564
738913;274816
974689;1799546
946913;856447
658272;243668
880330;1696001
907094;523061
216418;1632907
1137530;671761
247967;1448152
1312587;1368903
910438;706544
1536770;1768292
423593;385951
154746;558092
845840;1588621
285180;1803942
808499;609253
140240;1165981
860825;956042
40399;382143
429510;695700
1543681;93132
585590;1390698
1393469;1019276
505060;364042
1295707;985898
117599;1772954
1306805;1348836
398077;1393469
1057598;1349526
731271;1337573
404410;1657854
718313;597714
1034194;1568722
6154;626168
1074707;1103124
1092600;247967
118881;1086356
922283;384603
1340811;256357
758481;1316039
914322;957618
1656258;791175
1613350;161269
1699834;170076
356562;189951
610698;448194
164434;558092
796746;959509
837272;355512
165983;129505
1005427;1027884
1435009;506323
1434443;28916
414512;1387396
859940;760576
397387;138457
1103124;237528
1568173;1732060
826409;1768435
1348457;402670
795791;809930
602342;840705
1177723;778541
164942;19779
38130;31350
695700;506323
197896;446155
440308;759149
712173;95816
916564;1672743
1707499;1799546
852384;331548
945375;1161143
505434;849468
1062261;1017296
1200926;1595122
406557;852620
1803971;1307349
163357;653893
1113407;474464
224492;184619
1226599;685073
1173719;1114802
425490;658272
720048;672252
1082094;1664829
1666719;723740
899173;1547990
15901;1549602
579991;5411
505434;1365286
441923;1709747
451916;946913
140204;11068
490820;390030
1676423;607355
1424933;985898
692179;6762
119821;361416
1405936;1307349
1524040;515422
1221498;1189345
172223;1457765
5781;843123
351505;1658827
1815571;541011
214894;648385
728297;620598
1664829;1684067
1221552;1606389
1586710;77161
536083;1658744
395173;1613350
297283;687619
255264;941119
18993;1240319
1270031;465329
682106;1698166
279698;1045904
297972;1518885
1606389;1627507
404804;719760
755599;1766746
35878;526827
340305;1496982
1072499;1086356
251746;433966
1715145;20175
354644;1697743
1627759;446155
515036;954689
954605;1226599
1354731;1105034
1264496;1017254
1475560;1258373
1446963;956042
765817;1546852
1442764;128280
1253067;607355
852957;872221
1603800;221287
171006;610275
1529367;620598
382732;743434
660320;716692
1227380;385606
872221;1335738
927230;111790
1614983;415342
1537167;1451898
1393469;564427
512839;1452422
600256;1475397
1191051;685547
1379113;1697743
1707499;1436831
1535111;1658827
275008;296862
558092;1769274
1131059;1630115
1147305;473070
237528;1448152
38917;164296
1536811;895989
1374109;1664788
911753;73508
591848;637774
517575;1127706
184813;880330
1112477;258555
1173719;260539
1442764;1436831
1266380;1697743
1692481;716856
1661019;1494232
1521063;843123
466220;1768435
705233;1253720
1606389;252754
1358181;809930
238950;104967
1002565;446831
792443;133010
140204;856447
810979;1424008
256357;39294
252915;985654
1039487;223002
482782;1198182
335544;1789024
808499;1448029
1608965;1692996
11895;1118510
870555;133010
429510;683433
1748150;1056348
1467391;415342
83404;147329
1810055;1799546
1207386;243668
382732;964162
1452422;1380026
255264;1527892
390085;1208749
287040;1635677
15335;1250181
1627759;506156
217368;1472156
558544;1448802
1722903;1637245
1067598;449952
258746;1405936
1501825;1622774
1777938;649712
258746;229333
375225;1365286
852957;460272
1172845;40133
916140;1079039
1094945;249145
980020;392885
153917;1072499
598886;373515
43565;502452
361368;794766
961884;1273921
933276;1549905
957139;65220
215100;1056348
29841;1350866
767427;302370
445474;162256
14870;1494232
1325840;858012
224492;121829
1392181;375225
770098;742838
224561;137649
539040;1576864
1235417;93427
658104;1010108
1486661;859940
1385890;502452
1766699;1689216
612668;1023596
672965;385572
637774;1531151
788572;1327342
1464495;658766
1543681;172223
1071405;846391
1517802;418632
152372;476394
1630115;1475397
1269501;1664829
451500;1239202
49268;1226208
155814;918237
302288;5411
463804;181847
933276;1799546
767427;787986
670472;1114199
607982;1657854
1380946;1782287
60318;1224884
80570;994405
1645932;1039487
385572;1637245
1655064;86197
903459;637774
858943;344196
987013;237528
672252;1807063
1045715;364583
65220;685073
1306813;1716356
955143;251746
1501825;1693729
1358953;958059
441923;1299839
164296;154746
1228726;257391
1403037;1813111
961605;929966
433428;617844
1669943;43565
386281;137649
998388;826519
245881;193054
1253067;1810403
1485153;344196
1632847;822868
510479;182337
1547416;1666515
1624977;1713610
1649711;385572
330977;1616821
1018374;404804
1272897;754613
148875;167889
1427644;609356
1283987;755721
1333158;1771662
236116;1105437
1460658;29332
830421;1450348
392885;621425
74687;1766615
946913;71126
792443;581821
1798268;1724306
1453065;515036
995020;241752
190774;309773
335626;720048
747610;1441168
668849;40380
433428;1681560
488010;1627762
1435009;1681560
1159557;564427
1186097;607982
429510;354571
1427644;574966
682106;1699565
1137530;16160
669799;1519481
1607723;603379
1208749;83404
1707342;336781
797742;215497
285180;1709287
1291882;521312
356711;38130
1218527;1472329
205867;1345177
1292428;1613350
74721;15548
161312;1807063
148797;77161
1165981;144733
268777;114370
1194496;1061598
445474;847042
1311723;193554
1422719;1019276
1664829;388271
45886;155524
1127706;1165981
1535111;1637245
43929;1205211
1464495;1667234
965074;1436831
1521063;1448152
1709747;1422719
1456321;414512
720048;707638
357869;1657854
1441238;539917
1071939;1123136
852957;1453948
446155;56467
843524;1781265
1776275;1645939
846542;1600357
537828;1035038
408374;273782
1536250;1446963
77161;330977
800331;1529367
153060;848072
8763;1311723
1627762;446831
15548;836998
338585;535179
1576036;373515
1421983;1061598
598801;610698
134560;336255
1566896;1341035
555508;1039487
1817027;52584
1361815;364042
680940;422477
138209;1099225
722469;1510428
1693865;581576
402670;685547
1020441;346441
858685;607355
695567;1772954
1485153;155524
268343;144733
480945;81804
1393252;1448802
1078069;415342
316834;364583
539049;405103
294944;754613
1494332;1364731
1464495;1041107
1541341;1027884
1792183;1395487
579991;1595122
166310;1032007
8763;1768292
1047238;1469449
1449637;1576864
802377;364583
214894;313083
1220604;574966
1440731;12993
1172845;1666515
1315091;284492
695567;929966
721413;1010108
414512;1137975
757312;1699105
534850;316117
1708665;789097
539049;1449437
1013863;612191
1143756;1676423
1747233;418632
1216968;852620
675534;579773
933995;685073
1446963;1448802
1698766;539049
407910;1028584
1275641;1616821
372956;1238551
1221498;1561863
1307992;1789024
1799546;217021
1010108;685073
1644630;715329
267718;41593
505947;73220
1571182;291511
821061;1337573
1321008;769408
830421;217021
1555794;209002
13070;1380026
392052;1660204
494408;759219
152807;1688
1114199;1280519
1439875;1331543
1627074;161623
628035;1112477
591848;27301
597714;1448639
1768435;20175
895989;1605552
1070386;208772
1048515;777864
1028584;1264496
1709287;5781
113796;236116
701070;833112
927670;765817
1284694;882327
843123;10889
669893;1494849
336255;815469
1395493;1341035
1555794;11068
1594417;884621
113796;533918
1315091;1249308
1638427;1792183
148797;137780
255620;536083
1667187;649712
539040;473070
92058;414512
1013871;1667234
496663;1228401
1544043;309773
292320;398077
245206;1137975
1391546;1089315
843524;372956
1431982;1645439
628035;778541
439701;418632
808474;1448029
837272;671761
1521201;17684
14870;1091
1171487;444267
1375381;539917
1025374;65220
1682202;1039240
1221552;1405747
330977;1666515
1634958;1348836
1061598;1208749
721413;1253601
345137;685073
916564;77161
859940;1635677
1113293;754613
756926;558092
715329;878239
480945;1520693
503857;1645439
669799;111790
1191051;1543681
149844;1577540
1028515;669531
1132703;848072
1047238;541011
1658645;190774
1517802;1327342
52888;614894
1328411;856447
291511;1244547
1315091;1100958
802377;29521
653893;193936
1788564;1126833
1517802;1091367
1776275;652320
359688;1147305
1012494;818681
1327162;880330
215497;121829
1040562;69894
269276;316834
355512;1692481
1307349;1368903
1315091;1373685
1077251;719760
92058;1543088
804141;181847
1019276;821061
223960;652234
1105034;1139486
1131298;65230
1266808;161269
1197573;252915
456073;759219
1653831;710537
163313;1480935
767501;1627762
1148152;433966
429510;1250181
615364;788572
1586857;161269
671761;1472329
804069;414512
764200;802089
787986;390030
1438690;1546852
854128;843524
1186722;603151
1074404;771098
610275;144733
317670;444267
1032007;891461
1317116;1366722
465329;378968
99023;1185599
494408;654655
375225;1348457
1203397;1688
628729;626168
1239202;751588
1363538;474464
1558196;759149
273782;87791
610275;1307349
918870;705233
224492;1393469
652320;1570380
80570;848072
2431;144733
234643;1106904
707638;617844
1325840;618979
980020;1449437
215497;1040444
512839;415342
1063894;137780
1038054;1368903
1253795;1228726
709763;1104569
876431;1613350
229333;1253601
1478454;490876
1770975;1766615
1577540;52192
1306187;733578
24270;212088
880700;40380
1547416;1446812
198536;1576036
604005;1803942
1240311;531080
842405;607355
246542;1159246
11779;1733407
1601845;943288
1586710;364042
933276;117599
618979;309773
1794591;398591
914563;1380026
621425;1546852
1100958;1725461
1679810;1778470
658104;1535111
1448152;1079039
292799;246542
189951;564427
1376759;253597
709763;1079039
549212;773669
1486661;1211384
228692;469815
1810017;1039089
427331;1637245
354644;910438
1666719;1249308
731271;38130
44486;1595122
544543;366206
1239507;193936
244475;1159246
309476;529914
1807198;74721
1140292;858012
572296;1147305
1172845;1185599
1347062;291511
1337573;882228
1261299;652320
1258373;796041
1807198;1226599
1299715;1071939
1246494;719760
505434;1716356
1748574;210635
1750090;313083
1715589;579773
520826;618247
348325;958059
649502;878239
1026942;755599
1619002;505947
13070;243668
1557031;1301044
1257742;1506273
1150432;1248930
633195;119386
34988;1301044
1225118;716692
621293;198536
1549905;1724306
361416;1071405
1180520;1249622
943288;1549602
1462352;1152767
326138;1361815
164784;175092
1815571;39294
228692;1681560
512839;1485153
1466306;77161
404804;800331
739243;1017296
36490;900503
1596311;337358
1546718;229333
1280519;1070386
859940;1739009
1331044;1714427
1677821;27301
1240319;1485153
865609;1228939
348325;1635677
297283;1255550
402724;1709287
1692481;1667234
598832;1397698
927230;664311
1677821;388674
1616821;1658827
1074404;566695
225523;758850
1374109;192912
535179;719760
797742;1112477
252915;608367
618979;1596311
148797;881173
899480;1104220
1668647;130022
111790;1576036
1325840;1497272
164784;833112
171057;1071405
603379;1411852
253597;1601417
1200926;147329
164434;184619
773755;957618
881173;301193
1626643;1309347
1666515;695700
375225;520826
1813111;1531151
295139;449364
1798268;396995
558617;796041
1732060;852957
1143756;340305
886613;1670048
82554;12993
331231;1253601
1788564;659904
1644630;86197
1456321;1634958
1788564;155524
444896;826519
330977;1145009
1778470;29521
1810899;705233
292799;1613350
215653;832393
652320;1152767
1127822;12993
1038253;182337
358902;688835
1154133;802089
374795;302370
493438;1039487
161623;99023
1667187;330141
352759;986644
765817;1506965
1330140;149844
493721;506156
1005427;445523
1776275;794766
1248930;217021
215100;1239202
1380026;1679128
164942;1666515
163313;137649
1321008;130022
309773;770098
1139486;661497
608567;60318
1781265;451500
164434;152807
425490;623325
572296;1733407
389256;620598
503857;1078805
1206233;268983
848072;848847
1614943;608567
1032007;1257266
1560356;833112
140240;806442
363116;210635
1421983;1270624
1534806;1418546
99023;302370
199007;574966
1327162;227494
714243;1228939
94238;1460658
1071405;121047
710537;398077
1536250;905619
1689283;1538985
1442764;1221507
787986;249145
1586417;344302
195760;1521201
314725;378968
1061598;503214
653893;605621
228008;1114802
56467;251746
858943;808287
520826;243668
518915;1019276
1766988;652320
297098;1295694
1437394;1300418
743434;120346
74282;1655577
598886;1494232
285180;865632
1814947;1368903
172223;1224884
1438690;1724306
1601417;709763
961605;1449118
1485153;808287
572296;1426774
1456321;1479521
1203397;184619
217802;297972
1257266;1435983
450079;1670048
1418546;1241505
1095886;1485153
852449;497513
533918;1547990
1250848;390030
1692481;867361
671761;444267
852384;56467
430170;626168
1281918;1568173
473070;419665
538914;1067598
1770975;404804
739243;1103124
325432;1766746
1470373;469256
16022;1501620
398077;706544
223002;1771662
1074707;558617
1296338;1104220
1544043;121829
1527533;570361
758850;1650738
1410082;774745
1017447;1494849
717609;1047238
1605645;688835
21951;24781
1038054;1307349
1768435;1221507
348088;189951
997982;1040444
337358;539040
1379113;1560863
1137975;212088
220776;449952
1241505;31888
847042;375225
1496982;1028584
1674447;1208749
505060;791572
368352;705233
223960;1288969
702972;113796
408900;1368903
1015068;297972
1550618;6522
36490;1253126
1216920;506323
1637245;161623
1106904;618247
505434;268343
808474;1207386
1561863;723740
215741;882228
1521063;74721
742838;1768435
1039089;695317
325432;1348836
361416;69894
847042;1547990
773737;778541
1776275;65230
449364;1125027
1250181;1557874
777721;128280
921565;1024621
609973;1679128
767501;149844
572296;1667234
1672743;198536
1230471;918237
1586857;437115
1571182;1772954
1703908;759219
517575;1636364
1693126;723740
1306805;1512767
1660303;858012
1601902;1396500
1546718;1472329
610275;161623
396328;85772
848072;270373
1194496;927670
385984;60318
1599876;878239
1564209;302370
520826;1645939
354571;658766
1300418;140752
1736712;1341035
1310149;705233
988455;1699565
67582;260539
1619002;1010600
388271;38130
1768292;1444155
1368350;171006
1636197;797742
775502;480214
1358181;612191
422477;190774
1363407;533285
564427;1736531
431092;170076
75067;212088
804141;686581
40380;1239507
320786;458772
89833;1250181
193554;380549
222770;1467391
1250181;345137
376474;1448152
1364572;1071939
1803942;336781
1810899;1024621
399837;1539027
620598;1072439
451916;476394
1104220;1776275
1115014;117599
1788892;709763
442490;1257742
215364;1288969
1333795;1768292
1778470;1577540
1533899;1453065
1517195;1106904
805263;223002
13205;773755
260313;715329
630802;515036
563542;1103124
1253601;783033
669893;1250181
265079;429510
1636364;224561
471352;1494332
886613;1177723
685073;272511
172223;1627762
657635;1110498
278644;1703908
1444155;181698
922595;908949
603151;10889
630802;872221
554285;579573
164296;108390
270373;288456
1015068;56467
217021;1606389
171057;294944
940157;1494849
716692;709763
1126833;1280519
1501620;1636364
1635983;1679810
916140;526827
1312587;1299839
1347062;915898
980020;1253601
67582;907500
986644;788572
1546711;1536770
309773;1645439
364583;1380026
554285;537828
791645;249145
1335006;473070
544946;43565
1071939;749663
1078069;1228726
626168;1036971
1699105;1788602
1544867;245206
1416591;1250181
464794;164367
1369647;1705089
884621;137780
579991;147329
356562;1154133
177064;1485153
43565;298915
1770975;515036
1148152;1296853
397387;1366722
1604754;653311
1577540;1284694
1476506;1083924
95816;490876
192912;953868
1449118;31350
770946;598832
1670048;802089
636784;858012
695700;608724
852384;251746
932773;1807063
1537167;1283987
1165981;1156348
229333;437115
364042;107151
866687;860825
223055;1605552
957618;81804
747610;36490
65230;705233
738913;54153
1393469;448194
1815832;230160
681007;1213380
695567;446155
1633124;137780
1645439;1419645
824020;336781
767593;378968
772349;1010108
1679128;31350
74687;1321008
739243;1118428
1456321;521312
914563;382276
335626;120346
1645439;154746
1104048;1538985
1030874;335626
1250848;37090
768675;1716356
499848;313239
1020441;526827
1163338;562977
1521045;748915
1441168;972797
728798;1469167
672252;1622774
757312;598832
1475397;1288969
1449437;1238526
454203;1281918
914322;959509
355512;1086253
515036;659904
400899;512839
639332;1622774
1000462;1253126
1807198;1482794
1524040;916564
930596;1354731
664311;653311
899173;1380026
610574;512839
1692687;1071405
639332;444077
671761;732193
809930;1316039
1078069;1670048
609253;852957
558617;1395487
1039089;198536
872221;1185599
217368;1205211
392408;66914
1563810;946913
1074314;1692996
1379113;1348836
1474208;1249308
938534;1520693
1257742;1363538
899062;1274721
884621;130022
935063;722158
1438690;6762
1580328;505947
164942;1700909
777721;1715145
1627507;562991
107151;1227021
657635;1658827
1144321;664311
731271;35048
337358;1452422
617844;1257502
477134;176264
1114802;773669
674499;875060
1341035;755599
94496;18993
914608;1300418
155814;401435
802089;850732
177064;1657854
1450348;58261
900503;1348836
1253795;1426774
649502;1502707
723740;449364
746710;1091
245881;1556219
998388;460995
487783;749663
1270624;1366722
57330;1546718
1494232;161623
624282;1557874
375225;1693729
382143;1345177
614894;506156
1766746;848847
77161;121829
562977;986644
1113293;41593
1041778;1225118
1789024;719760
695317;1634958
1337573;1258373
579991;375225
1089315;92058
1152767;1696001
314725;1228726
185553;1535111
1815792;914608
1269501;1546852
1547416;1363407
234643;1264496
171006;1619398
335626;1163338
585167;1817027
618247;164942
444077;1031492
149844;1283987
1330140;884621
716434;1306805
792443;85772
1421983;1071405
37090;402670
959509;819435
1246494;1091367
604005;314725
1293411;791175
74282;173821
1185599;40380
1557874;404897
810749;1441168
1403037;620598
1678501;161269
1396500;1368903
269276;1557874
1071939;1250181
899731;124858
573916;796041
1383945;1738682
344302;609973
719168;77161
302370;527709
1362903;505947
822699;1352185
1562509;794766
1147305;1676423
1296112;52192
99023;1395487
1428698;473070
592776;344302
905619;77161
648385;1010108
852620;1460658
1460658;594905
1560863;1692687
544946;872221
1792112;473070
380549;695700
1295707;1497272
716856;496663
773755;506156
111538;1091
1552205;270373
15335;1521632
20175;1286905
621898;1520693
95068;534850
1419368;1557031
754613;1180520
843524;670148
895989;802089
701070;1269823
432784;155814
1035038;679924
161312;1104220
138209;1118510
356647;329271
272511;12993
1547990;1625323
649244;444267
670148;373515
9415;574966
1086356;1807198
1221552;1275901
430170;54972
475113;1632518
1333158;833112
480214;1275901
1200926;1632907
822699;1363407
460995;476394
1039089;745926
686859;1549602
1207386;585590
1536811;1600357
1018374;54153
558544;607355
900503;237040
433428;1478454
358902;187573
298915;192638
400899;52192
419665;1127706
1575397;1666719
480214;237528
1074707;1810017
1656258;581576
473870;569578
1547990;1031492
714243;1664788
813000;161623
173821;988813
10889;512839
5781;940157
287008;1689283
1223409;933995
1563857;464794
89833;14870
686581;849468
856447;1789024
618247;193936
1119501;1354317
490876;1228401
605810;71126
1223409;274954
1327162;11068
773737;822868
1488658;73508
938741;648385
534850;809930
182605;444077
192912;1778470
1622774;585590
1104569;1627762
21805;1268785
1385890;653311
1435009;1568173
149844;1396500
1220604;1538985
671169;1555134
215653;268983
403334;1469167
166310;1307349
1485153;244475
833910;1453948
1643295;1368903
607982;671761
87791;526827
773755;1256473
69894;693747
1393918;20175
1632518;541011
674505;523061
822699;1696001
83404;464794
1411852;1645932
1092600;258746
35479;1799546
1472067;154746
836707;1549905
1340811;1664788
523061;451500
929682;466220
187573;1366435
437115;1515215
1206233;607355
820964;1072439
884621;1650738
1692481;317670
389256;598886
441923;1411852
1358953;1602910
144733;901870
1593702;856447
573567;1415382
1568722;1061598
164367;819435
291511;359688
730754;485597
1083725;313239
198536;1278913
1365889;221287
881990;1455769
1423516;260539
1448546;378968
1581160;154746
748915;985654
358902;24781
669893;1682350
733578;1435009
224492;1517802
455583;503214
1123419;876431
1670048;1438690
529914;1484282
423216;512839
1572317;1286905
1226208;1123419
1405747;759219
1557031;1448195
78484;33279
1403418;149844
473070;891461
1453065;506323
1091367;1709002
465329;181847
1581292;298915
313239;1257502
927230;474464
1257742;860825
803423;946913
1029012;40380
1012494;554285
424836;778541
164434;574966
1667234;567418
153060;658766
341064;555508
1057596;159118
867361;357869
476394;215274
1373283;1546718
581821;1027884
1672743;1395493
1632518;473870
918237;1803942
1310149;845024
1006438;810749
57330;880700
1194496;133010
1576099;1593702
529478;985898
335626;12993
1534806;1194496
901870;485597
1291882;1368903
1544867;1596311
427331;1337573
1448546;153060
953868;539040
608724;581821
720048;1147305
297972;1301044
1250181;493438
1677821;515422
589191;658272
905794;167261
455583;133010
941119;1563857
607982;432350
681012;815469
882228;1475749
1072516;1280042
653311;1307349
49843;1396951
405103;1810403
253597;473870
1721467;579773
1388;955143
669893;1103124
1627507;234105
399837;778541
366206;1180520
1599876;1502707
905033;1494232
1228726;760576
1057598;515036
1315694;197896
1040463;783033
534850;1569375
848072;1039487
52584;474464
1609104;637774
407910;346441
1560356;1469449
1770975;313239
612191;1017254
1404390;1364731
592776;344196
775384;1005427
768675;1637245
11068;1576036
1605552;433966
511318;1364731
86197;709763
562991;1456321
430170;880700
1672743;1206203
272675;1736531
1748574;1301044
1596311;86197
1416591;505292
225523;1712050
1243554;72147
1482973;600256
614894;1502707
18993;1281918
1387396;1520693
610751;1571182
600962;620598
558544;399837
846542;352759
1046654;335626
1406079;1768292
1092600;1307349
1424933;536083
435147;1448029
176264;819435
336255;1017254
374795;875054
1788892;1288969
1072516;1118510
120343;1568722
336255;38130
217368;853962
442490;271214
1521201;52192
104967;972044
529478;354644
1456877;357869
385572;1354731
1371721;444077
1405747;1472329
961605;1606389
756926;1708665
228008;1373685
1788564;192821
1083924;260539
6615;1469167
111790;1020441
1139710;748915
437115;154746
1280519;1557031
390030;1250181
1403037;603151
476394;1396951
1295694;329271
1299839;502452
1426774;1736531
1501620;1630115
1061858;1072439
1358181;1453065
73348;1365889
341221;759149
518915;1024814
400899;75067
114370;515036
1403418;1472329
1649711;872221
1268277;138457
772901;1775011
1268192;1527892
658766;1327342
454203;1632907
931202;1253067
1555134;1186722
490186;1125027
1011709;1019378
1106092;883989
344302;1253795
945375;1147978
1384677;1814502
354644;1239202
310749;858012
320786;38130
1201017;237040
748915;755721
715329;251746
619728;1056348
668708;1113407
1575397;1622774
