id	title	page_start	page_end	year	citations	conference	keywords
41593	Towards Increasingly Update Efficient Moving-Object Indexing	35	40	2002	9	IEEE Data(base) Engineering Bulletin	['Data mining', 'Computer science', 'Search engine indexing', 'Euclidean geometry']
43287	Qualitative Spatial and Temporal Reasoning in Cardiac Electrophysiology	157	166	1989	7	Artificial Intelligence in Medicine in Europe	['Cognitive science', 'Computer science', 'Cardiac electrophysiology', 'Artificial intelligence', 'Machine learning']
43929	Speech recognition based on the integration of FSVQ and neural network.			1990	0	Conference of the International Speech Communication Association	['Pattern recognition', 'Computer science', 'Speech recognition', 'Time delay neural network', 'Artificial intelligence', 'Artificial neural network']
44505	Auditory-based formant estimation in noise using a probabilistic framework.	2606	2609	2008	3	Conference of the International Speech Communication Association	['Joint probability distribution', 'Pattern recognition', 'Computer science', 'Spectrogram', 'Robustness (computer science)', 'Speech recognition', 'Preprocessor', 'Artificial intelligence', 'Formant', 'Probabilistic framework']
48405	Knowledge Flows: Knowledge Transfer, Sharing and Exchange in Organizations: Minitrack Introduction			2004	0	Hawaii International Conference on System Sciences	['Computer science', 'Knowledge transfer', 'Knowledge management', 'Management science']
49268	On the signed total chromatic number of a graph.			2006	0	Ars Combinatoria	"['Graph', 'Discrete mathematics', 'Combinatorics', 'Chromatic scale', ""Brooks' theorem"", 'Mathematics']"
49843	Traveling wave solutions of the n-dimensional coupled Yukawa equations	1106	1110	2012	7	Applied Mathematics Letters	['Nonlinear system', 'Traveling wave', 'Mathematical analysis', 'Yukawa potential', 'Relative strength', 'Chaotic', 'Partial differential equation', 'Dynamical system', 'Physics']
52192	A Data Model for Audio-Video Data .			1994	11	Conference on Management of Data	['Data modeling', 'Data mining', 'Video processing', 'Computer science', 'Data model']
52584	A Study on the Development of High Precision Cam Profile CNC Grinding Machine with CAD/CAM System.	688	693	2006	0	International MultiConference of Engineers and Computer Scientists	['CAD', 'Engineering drawing', 'Computer science', 'Artificial intelligence', 'Grinding', 'Machine learning']
52888	Two Evolution Indicators for FOSS Projects	216	232	2012	0	Open Source Systems	['Linear equation', 'Data mining', 'Systems engineering', 'Computer science', 'Discriminant', 'General linear model', 'Concurrent validity', 'Software', 'Product metric', 'Statistical hypothesis testing', 'Software versioning']
54153	Generating a Business Model Canvas through Elicitation of Business Goals and Rules from Process-Level Use Cases	276	289	2014	5	International Conference on Business Informatics Research	['Artifact-centric business process model', 'Semantics of Business Vocabulary and Business Rules', 'Business process', 'Computer science', 'Business model', 'Business Model Canvas', 'Business process modeling', 'Business rule', 'Business Process Model and Notation', 'Management science', 'Process management']
54972	Simple Synchrony Networks: Learning Generalisations across Syntactic Constituents.	469	470	1998	0	European Conference on Artificial Intelligence	['Computer science', 'Artificial intelligence', 'Natural language processing', 'Syntax', 'Machine learning']
55078	Multi-layer topology preserving mapping for K-means clustering	84	91	2011	5	Intelligent Data Engineering and Automated Learning	['Cross entropy', 'Biological data', 'k-means clustering', 'Data mining', 'Cluster (physics)', 'Topology', 'Multi layer', 'Computer science', 'Artificial intelligence', 'Cluster analysis', 'Quantization (signal processing)', 'Machine learning']
56467	A 'Novel' Approach to the Design of an IS Management Course			2009	2	Communications of The Ais	['Engineering management', 'Knowledge management', 'Curriculum mapping', 'Engineering', 'Emergent curriculum', 'Curriculum theory']
57330	Spectral Sparsification in Dynamic Graph Streams	1	10	2013	19	International Workshop and International Workshop on Approximation, Randomization, and Combinatorial Optimization. Algorithms and Techniques	['Spectral properties', 'Graph', 'Discrete mathematics', 'Electrical network', 'Computer science', 'Data stream', 'Theoretical computer science', 'Sampling (statistics)', 'Disjoint path']
58261	A general semantic analyser for data base access	443	445	1981	2	International Joint Conference on Artificial Intelligence	['Front and back ends', 'Design elements and principles', 'Analyser', 'Information retrieval', 'Computer science', 'Theoretical computer science', 'Natural language', 'Artificial intelligence', 'Casual', 'Data access', 'Machine learning']
59226	Interval Abstraction Refinement for Model Checking of Timed-Arc Petri Nets	237	251	2014	4	Formal Modeling and Analysis of Timed Systems	['Obstacle', 'Discrete mathematics', 'Model checking', 'Petri net', 'Arc (geometry)', 'Abstraction', 'Computer science', 'Theoretical computer science', 'Stochastic Petri net', 'Abstraction refinement']
62477	Kernel PLS variants for regression	200	208	2003	8	The European Symposium on Artificial Neural Networks	['Pattern recognition', 'Principal component regression', 'Radial basis function kernel', 'Kernel embedding of distributions', 'Kernel principal component analysis', 'Polynomial kernel', 'Artificial intelligence', 'Variable kernel density estimation', 'Mathematics', 'Kernel regression', 'Kernel (statistics)']
65220	Two notes from experimental study on image steganalysis	411	420	2013	2	International Conference on Intelligent Computing	['Steganography', 'Steganography tools', 'Pattern recognition', 'Computer science', 'Support vector machine', 'Artificial intelligence', 'Steganalysis', 'Image database', 'Cluster analysis', 'Classifier (linguistics)', 'Machine learning', 'Pattern recognition (psychology)']
66914	Experimental Validation of a Rapid, Adaptive Robotic Assessment of the MCP Joint Angle Difference Threshold	3	10	2014	11	International Conference on Human Haptic Sensing and Touch Enabled Computer Applications	['Discrete mathematics', 'Index finger', 'Simulation', 'Correlation', 'Just-noticeable difference', 'Estimation theory', 'Sequential analysis', 'Adaptive assessment', 'Mathematics', 'Joint flexion']
67582	Near-synonym choice in natural language generation	141	152	2003	14	Recent Advances in Natural Language Processing	['Natural language generation', 'Lexical choice', 'Computer science', 'Synonym', 'Natural language programming', 'Natural language', 'Universal Networking Language', 'Natural language processing', 'Artificial intelligence', 'Language identification', 'Sentence']
71126	Linear Approximation of Trimmed Surfaces	201	212	1994	13	Conference on Mathematics of Surfaces	['Linear approximation', 'Parametric surface', 'Discrete mathematics', 'Coefficient matrix', 'System of linear equations', 'Mathematical analysis', 'Computer science', 'Piecewise linear manifold', 'Triangulation (social science)', 'Rendering (computer graphics)', 'Piecewise linear function']
72095	EMR ADOPTION BY SMALL CLINICS IN MALAYSIA: AN EXPLORATORY STUDY AND THEORETICAL EXPLANATION			2014	1	Pacific Asia Conference on Information Systems	['Health care', 'Institutional theory', 'Computer science', 'Knowledge management', 'Developing country', 'Developed country', 'Theory of planned behavior', 'Medical record', 'Exploratory research', 'Facilitator', 'Marketing']
72147	A Maturity Model and Web Application for Environmental Management Benchmarking			2014	4	Americas Conference on Information Systems	['ISO 14000', 'Environmental resource management', 'Systematic review', 'Computer science', 'Service Integration Maturity Model', 'Knowledge management', 'Capability Maturity Model', 'Engineering design process', 'Design science', 'Web application', 'Benchmarking', 'Process management']
73348	Accessibility Issues in E-Government	15	25	2014	3	Electronic Government and the Information Systems Perspective	['Internet privacy', 'E-Government', 'Usability', 'Monopoly', 'Perception', 'Business', 'Reduced visual acuity', 'Government', 'The Internet']
73508	Drowsiness Detection based on Video Analysis Approach	413	416	2013	5	International Conference on Computer Vision Theory and Applications	['Computer vision', 'Computer science', 'Artificial intelligence']
74282	CONTEXT AWARENESS OF MOBILE CONTENT DELIVERY BASED ON FINE LOCATION ESTIMATE	185	190	2016	0	International Conference on Enterprise Information Systems	['Mobile content', 'Internet privacy', 'World Wide Web', 'Computer science', 'Knowledge management', 'Context awareness']
74687	A Cache Coherency Strategy for a Client/Server KBMS.	63	64	1997	0	Datenbank Rundbrief	['Cache invalidation', 'Cache pollution', 'Computer science', 'Cache', 'MESIF protocol', 'MESI protocol', 'Page cache', 'Cache algorithms', 'Cache coloring', 'Database', 'Operating system']
74721	Exploring New Care Models in Diabetes Management and Therapy with a Wireless Mobile eHealth Platform	203	210	2011	5	International Conference on Wireless Mobile Communication and Healthcare	['Health care', 'Mobile technology', 'Population', 'Internet privacy', 'Diabetes management', 'Provisioning', 'Chronic care', 'mHealth', 'eHealth', 'Multimedia', 'Business']
75067	Comparing Estimated with Actual Efforts for a Dynamic Methodology used by a Small Software Company	348	353	2001	0	World Multiconference on Systemics, Cybernetics and Informatics: Information Systems Development	['Software engineering', 'Computer science', 'Software', 'Management science']
75756	Learning of abstractions from structural descriptions of pictures	82	84	1979	0	International Joint Conference on Artificial Intelligence	['Programming language', 'Content-addressable memory', 'Abstraction', 'Computer science', 'Artificial intelligence', 'Natural language processing', 'Machine learning']
77161	Formal Concept Analysis for Knowledge Discovery and Data Mining: The New Challenges	352	371	2004	129	International Conference on Formal Concept Analysis	['Data science', 'Data mining', 'Data stream mining', 'Computer science', 'Raw data', 'Association rule learning', 'Knowledge extraction', 'Formal concept analysis', 'K-optimal pattern discovery']
80570	Hypergraph Transversal Computation with Binary Decision Diagrams	91	102	2013	14	Symposium on Experimental and Efficient Algorithms	['Boolean function', 'Data structure', 'Computer science', 'Hypergraph', 'Binary decision diagram', 'Algorithm', 'Transversal (geometry)', 'Theoretical computer science', 'Time complexity', 'Computation']
82554	Smartkom-home - an advanced multi-modal interface to home entertainment.			2003	5	Conference of the International Speech Communication Association	['Computer science', 'Home entertainment', 'Human–computer interaction', 'Multimedia', 'Modal']
83404	A comparative study of scrum and kanban approaches on a real case study using simulation	123	137	2012	17	International Conference on Agile Software Development	['Scrum', 'Kanban', 'Systems engineering', 'Software engineering', 'Modeling and simulation', 'Lean software development', 'Software Process simulation', 'Software development process', 'Software maintenance', 'Engineering']
85772	Panel: Organisational Memory	189	190	1991	1	European Conference on Computer Supported Cooperative Work	['Computer science', 'Knowledge management', 'Human–computer interaction']
86197	Securing Mobile Device-Based Machine Interactions with User Location Histories	81	92	2012	8	Security and Privacy in Mobile Information and Communication Systems	['Imperfect', 'Computer science', 'Computer security', 'Usability', 'Computer network', 'Location based access control', 'Mobile device', 'Workflow', 'restrict', 'Trajectory']
87791	Innovation, Incentive and Reward, Intellectual Property Law & Policy.			1998	0	Journal of Information, Law and Technology	['Law and economics', 'Internet privacy', 'Incentive', 'Computer science', 'Intellectual property']
89833	ADAPTING GRID SERVICES FOR URGENT COMPUTING ENVIRONMENTS	135	142	2008	4	International Conference on Software and Data Technologies	['DRMAA', 'Grid computing', 'Computer science', 'Data grid', 'Semantic grid', 'Database', 'Grid', 'Distributed computing']
92058	Implementing vocal tract length normalization in the MLLR framework.			2002	11	Conference of the International Speech Communication Association	['Normalization (statistics)', 'Pattern recognition', 'Computer science', 'Speech recognition', 'Artificial intelligence', 'Vocal tract']
94238	The Year 2000 Problem: Introduction.			1999	0	Journal of Information, Law and Technology	['Year 2000 problem', 'Internet privacy', 'Computer science']
94496	More Generalized Mersenne Numbers: (Extended Abstract).	335	347	2003	5	Selected Areas in Cryptography	['Algebra', 'Mersenne prime', 'Modular arithmetic', 'Arithmetic', 'Kochanski multiplication', 'Mathematics']
94630	The role of the community in a technical support community: a case study	335	344	2013	0	International Conference on Online Communities and Social Computing	['World Wide Web', 'Social community', 'Social web', 'Computer science', 'Folksonomy', 'Technical support']
95068	Low complexity Mandarin speaker-independent isolated word recognition.			2002	5	Conference of the International Speech Communication Association	['Computer science', 'Word recognition', 'Word error rate', 'Speech recognition', 'Speaker recognition', 'Mandarin Chinese']
95816	A possibilistic approach to restore consistency in answer set programming.	306	312	2004	0	Non-Monotonic Reasoning	['Functional logic programming', 'Horn clause', 'Computer science', 'Multimodal logic', 'Algorithm', 'Stable model semantics', 'Classical logic', 'Logic programming', 'Answer set programming', 'Higher-order logic']
99023	Semantic Adaptation of Knowledge Representation Systems	88	95	2013	0	Doctoral Conference on Computing, Electrical and Industrial Systems	['Ontology (information science)', 'Ontology', 'Knowledge representation and reasoning', 'Information retrieval', 'Process ontology', 'Computer science', 'Upper ontology', 'Ontology components', 'Ontology learning', 'Semantics']
102669	Mining Fraudulent Transactions in e-payment Systems.	179	189	2007	3	Information Integration and Web-based Applications & Services	['Internet privacy', 'Computer science', 'Payment service provider', 'Payment', 'Database']
108390	PSO-Based Design of RF Integrated Inductor	475	482	2012	1	Doctoral Conference on Computing, Electrical and Industrial Systems	['Particle swarm optimization', 'Mathematical optimization', 'Expression (mathematics)', 'Inductor', 'Control engineering', 'Process variable', 'Multi-objective optimization', 'Ring network', 'Active devices', 'Physics']
108831	Predictive adaptation and compensation for robust speech recognition.			1998	7	Conference of the International Speech Communication Association	['Pattern recognition', 'Computer science', 'Speech recognition', 'Speaker recognition', 'Artificial intelligence']
111538	One Approach to Fuzzy Expert Systems Construction.	566	570	2003	0	International Conference on Enterprise Information Systems	['Data mining', 'Neuro-fuzzy', 'Fuzzy classification', 'Computer science', 'Fuzzy set operations', 'Expert system', 'Fuzzy expert system', 'Artificial intelligence', 'Adaptive neuro fuzzy inference system', 'Legal expert system']
111790	Context-Aware Staged Configuration of Process Variants@Runtime	241	255	2014	20	Conference on Advanced Information Systems Engineering	['Systems engineering', 'Existential quantification', 'Computer science', 'Paradigm shift', 'Context awareness', 'Process variability', 'User requirements document', 'Scalability']
113796	Stereoscopic 3D to Enhance User Experience in E-commerce			2014	0	International Conference on Information Systems	['Design elements and principles', 'Mental model', 'User experience design', 'World Wide Web', 'Computer science', 'Stereoscopy', 'Usability', 'Human–computer interaction', 'Think aloud protocol', 'Feeling', 'E-commerce']
114370	On the Solutions of NP-Complete Problems by Means of jNEP Run on Computers.	605	612	2009	3	International Conference on Agents and Artificial Intelligence	['NP-complete', 'Computer science', 'Theoretical computer science', 'Artificial intelligence', 'Machine learning']
118881	A UML-Based Method for Deciding Finite Satisfiability in Description Logics.			2008	15	Description Logics	['T-norm fuzzy logics', 'Finite satisfiability', 'Unified Modeling Language', 'Computer science', 'Description logic', 'Theoretical computer science']
119821	The Design and Completion of Jiangsu Tourism Q&A System	342	349	2013	0	Workshop on Chinese Lexical Semantics	['Information retrieval', 'Computer science', 'Bridging (networking)', 'Web query classification', 'Tourism', 'Information extraction']
120343	GTP supertrees from unrooted gene trees: linear time algorithms for NNI based local searches	102	114	2012	14	International Symposium on Bioinformatics Research and Applications	"['Heuristic', 'Phylogenetic tree', 'Gene', 'Computer science', 'Algorithm', 'Heuristics', 'Bioinformatics', 'Local search (optimization)', 'Gene duplication', 'Time complexity', ""GTP'""]"
120346	Color displays for the color blind.	17	22	1997	31	Color Imaging Conference	['Computer vision', 'Computer science', 'Artificial intelligence', 'Primary color']
120828	A corpus-based synthesizer.			1992	54	Conference of the International Speech Communication Association	['Computer science', 'Speech recognition']
121590	Simulation-Based Service Process Benchmarking in Product-Service Ecosystems	40	47	2013	0	Working Conference on Virtual Enterprises	['Service design', 'Service level objective', 'Business process', 'Computer science', 'Knowledge management', 'Service provider', 'Service product management', 'Service level requirement', 'Benchmarking', 'Operations management', 'Service delivery framework', 'Process management']
121829	Distributed computing in sensor networks using multi-agent systems and code morphing	415	423	2012	1	International Conference on Artificial Intelligence and Soft Computing	['Program code', 'Data processing', 'Computer science', 'Mobile agent', 'Multi-agent system', 'Sobel operator', 'Artificial intelligence', 'Wireless sensor network', 'Machine learning', 'Code morphing', 'Distributed computing']
122273	Electronic Medical Record (EMR) Utilization for Public Health Surveillance	480	484	2008	8	American Medical Informatics Association Annual Symposium	['Severity of illness', 'Data mining', 'Public health surveillance', 'Emergency medicine', 'Age groups', 'Inference', 'Immunodeficiency', 'Medical record', 'Chronic disease', 'Medicine']
124858	Using collaborative and activity-based learning for engaging IT students			2014	0	Science & Engineering Faculty	['Information system', 'Curriculum development', 'Collaborative learning', 'Information technology', 'Design thinking', 'Engineering management', 'Bachelor', 'Engineering']
127103	Evolutionary Learning of Basic Functionalities for Snake-Like Robots	391	406	2014	1	Robot	['Obstacle avoidance', 'Embodied evolution', 'Evolutionary algorithm', 'Evolutionary robotics', 'Computer science', 'Optimal learning', 'Self-reconfiguring modular robot', 'Artificial intelligence', 'Robot', 'Evolutionary learning']
128236	Load Balancing for Imbalanced Data Sets: Classifying Scientific Artefacts for Evidence Based Medicine	972	984	2014	2	Pacific Rim International Conference on Artificial Intelligence	['Data set', 'Load balancing (computing)', 'Computer science', 'Artificial intelligence', 'Information engineering', 'Classifier (linguistics)', 'Ensemble learning', 'Machine learning', 'Evidence-based medicine']
128280	Restoration of Images Stained with Waterdrops on a Protection Glass Surface by Using a Stereo Image Pair.	152	155	2005	2	Journal of Machine Vision and Applications	['Computer vision', 'Pattern recognition', 'Artificial intelligence', 'Mathematics', 'Stereo image']
129505	Improving the optimal bounds for black hole search in rings	198	209	2011	10	International Conference on Structural Information and Communication Complexity	['Asynchronous communication', 'Combinatorics', 'Upper and lower bounds', 'Black hole', 'Time complexity', 'Asymptotically optimal algorithm', 'Mathematics']
130022	WorkCellSimulator: a 3d simulator for intelligent manufacturing	311	322	2012	4	Simulation, Modeling, and Programming for Autonomous Robots	['Robot learning', 'Geography of robotics', 'Computer science', 'Simulation', 'Scheduling (production processes)', 'Software', 'Artificial intelligence', 'Information engineering', 'Robot', 'Robot manipulator', 'Robotics']
133296	How Preprocessing Affects Unsupervised Keyphrase Extraction	163	176	2014	9	International Conference on Computational Linguistics	['Learning to rank', 'Pattern recognition', 'Ranking', 'Computer science', 'Phrase', 'Preprocessor', 'Natural language processing', 'Artificial intelligence']
