id;name;org
2609692618;Wei Peng;Software Research Institute Athlone Institute of Technology Athlone Ireland
2763595081;Matthew Antognoli;University of Rennes
2141350668;Hokyoung Ryu;University of Tsukuba
1272845716;Nitin Kanaskar;Department of Computer Science Tufts University
2122138351;Tadahiko Kumamoto;Tianjin Normal University
2918898746;Erich Teppan;Chongqing Jiaotong University
2511551622;Toshiro Minami;A* STAR
146717607;Mario Cannataro;University of California Santa Cruz
282658983;Wladyslaw Homenda;College of Computer Science and Technology, Zhejiang University, China
2404730398;Daniel Rousselet;Air Force Flight Test Center, Edwards AFB
2673491537;Dong Geon Kim;Dept. of Computer Science, University of Oxford, UK
52732896;Nadia Boukhatem;"Ecole Normale Supérieure de Lyon;"
2125800030;Willi Meier;National Digital Switching System Engineering & Technological Research Center
2305341160;Sang-Eon Park;College of Mechanical Engineering and Automation, Fuzhou University, Fujian, China#TAB#
2193902795;David Parker;„POLITEHNICA” University of Bucharest
2519469011;Qiong Liu;Shizuoka#N#        University
2234887606;Marcus Herzog;North Dakota State University,,
2069719606;Martin Wirsing;University of Tubingen
268350945;Doina Caragea;LARODEC Laboratory, ISG of Tunis
2669935515;Ching-Ying Lin;University of Aveiro
2696583577;Christopher N. G. Dampney;Rotman Research Institute, Baycrest#TAB#
2129124083;Massimo Esposito;Ecole Centrale de Paris
2100055933;S.-M. Yoo;Tianjin University
2023969377;Abdelmajid Ben Hamadou;Institute of Mathematics, Czestochowa University of Technology, Poland
2231082331;Tarek Khalifa;Comput. Graphics, Tubingen Univ., Tubingen, Germany
170944239;Chiaki Sakama;Method Park Management GmbH
2718353719;Patrick S. Fernandez;Beijing University of Technology
2344144429;Leila Ribeiro;Communication Department, SUNY Albany, Albany, NY#TAB#
2634154665;Gong Dianxuan;NICTA and UNSW Sydney, Australia
1984249788;Rafael Ball;the Johns Hopkins University
1512934884;Ibtehal Nafea;#N#            * University of Aberdeen
2813640766;Sang Uk Lee;University of Ottawa, Ottawa, Canada
885249385;Prokopios Drogkaris;Pusan National University
2078610965;Patrick Mund;Osaka Univ.
2402350520;Frank Baszynski;New Mexico State University,#TAB#
2466824936;Hugo M. I. Pousinho;University of Pisa
2935835438;Saddek Bensalem;Massey University
2776268300;David A. Randell;, Aalborg University
2127786174;Roger Azevedo;GECAD - Knowledge Engineering and Decision Support Group
2681320781;Wensheng Zhou;"Department of Informatics, University of Piraeus, 80 Karaoli & Dimitriou St., 18534 Piraeus, Greece, E-mail: talepis@unipi.gr; mvirvou@unipi.gr;#TAB#"
2304492444;Carlos V. Regueiro;Heinrich-Heine University
2345390987;C. S. Arvind;Human-Oriented Technology Lab, Carleton University, Canada#TAB#
2621855168;Edward J. Barkmeyer;University of Oxford
2147301471;Markus Bick;Chon-buk National University
2591160275;II Peter Evans;Free University of Berlin
2171891642;Cheng-Hsin Hsu;Takushoku University, Hokkaido Junior College
2717741695;Fenglan Li;Department of Mathematics, University of Turku, Turku, Finland,Turku Centre for Computer Science, Finland
2502975880;Robert C. Moore;Hebei United Universtiy
2109304222;William Robertson;Department of Mathematics, University of Turku, Turku, Finland,Turku Centre for Computer Science, Finland
141314290;Thanawin Rakthanmanon;Edinburgh Napier University
1929591666;Mohamed-Chaker Larabi;Division of Mathematical Sciences, School of Physical Mathematical Sciences, Nanyang Technological University, Singapore#TAB#
2182928395;Frank S. de Boer;Supporting Interaction and Learning by Experience
2063423718;Bernhard Steffen;IIT delhi
2275252108;Jonathan Allen;University of Illinois at Chicago.
1723369513;Dirk Tunger;Institute of Real-Time Learning Systems, University of Siegen, Siegen, Germany
2106826931;Greg Abernathy;UNIVERSITÉ LAVAL
403308764;Claudia Loebbecke;Gippsland School of Information Technology, Monash University, Australia, Email: {shyh.wei.teng, kaiming.teng}@infotech.monash.edu.au
2312166707;Peter Weiß;SIM UNIVERSITY
271117951;Anouk van der Gijp;Kaunas University of Technology
99131486;Marinette Savonnet;Department of Computer Science, Tufts University, USA#TAB#
1899599409;Rafael E. Banchs;College of Computer Science and Technology, Zhejiang University, China
1632103029;László Bokor;University of Massachusetts,Boston
2116716324;Damien Cram;University of Warsaw
2611774216;Hong Zhang;UPV-EHU.
2075955518;Lalit R. Bahl;Speech Group, LORIA Inria, Villers-lès-Nancy, France and Université de Lorraine, LORIA, UMR 7503, Villers-lès-Nancy, France and CNRS, LORIA, UMR 7503, Villers-lès-Nancy, France#TAB#
2644190693;R. Mahesh K. Sinha;Osaka Sangyo University#TAB#
2026882024;Raju Halder;(University of Siegen)
2163610232;Alf Westelius;National university of Defense Technology
2327671090;Jennifer Hui-Chan Tsai;Carleton University, Ottawa, Canada
2155874124;Zhi Jin;Cornell University, Department of Design and Environmental Analysis, College of Human Ecology, Ithaca, NY#TAB#
2421740239;Thomas Scholz;Department of Mathematics, University of Central Florida, Orlando, FL 32816-1364, USA
2099256167;Hongzhi Zhang;Department of Computer Engineering, Islamic Azad University of Qazvin, Qazvin, Iran#TAB#
2063004300;Thomas Papastathis;Software Technology Dept., Delft University of Tech., The Netherlands#TAB#
2209330204;Robert Chun;College of Information Science and Engineering, Northeastern University, Liaoning, China
1779508249;Bojana Dalbelo Bašić;Sun Microsystems,
2118564597;Jose Maria Elvira;Lehigh University
2963022070;Ricardo Menchaca-Mendez;Department of Computer Science, University of Szeged, Hungary
2151881489;Martin Riedel;Universidade Federal do Rio de, Janeiro#TAB#
2396874693;Patrick Durusau;Lodz University of Technology
2138512350;Manabu Fukuda;Department of Computer Science and Program in Literary and Cultural Theory, Carnegie Mellon University, Pittsburgh, PA
23672645;Oscar Saz;LAWSON HEALTH RESEARCH INSTITUTE
2146695731;Andrew M. Sutton;Laboratory of Image Processing and Radiation, University of Sciences and Technology Houari Boumedien, Bab Ezzouar, Algeria
2096081279;Marko Seppa;Hitachi, Ltd., Systems Development Laboratory, Hitachi System Plaza Shinkawasaki
2982712192;W Stephen;Fraunhofer-Institut für Produktionstechnik und Automatisierung IPA, Stuttgart, Germany
1986592519;Óscar Ferrández;Università degli Studi di Modena e Reggio Emilia
2511833135;Verena Stein;University of Technology Graz, Austria#TAB#
2123768524;Ana Belén Moreno;Department of Automation Shanghai Jiaotong University Shanghai China
120307197;Jon Yngve Hardeberg;Fraunhofer-Institut für Produktionstechnik und Automatisierung IPA, Stuttgart, Germany
2630564561;G. S. Bolotin;Institute of Real-Time Learning Systems, University of Siegen, Siegen, Germany
2109143765;Brian Logan;Center for Reliable and High Performance Computing, Coordinated Science Laboratory, University of Illinois at Urbana-Champaign, Urbana, IL#TAB#
42605653;Tobias Nipkow;INESC-ID, IST, Technical University of Lisbon, Lisboa, Portugal
2157185773;Jim Hunter;Departments of Radiology and Biomedical Engineering, Northwestern University, Chicago#TAB#
2665512397;Lilian Buzer;National University of Tainan
2922391355;Akio Kobayashi;INESC-ID, IST, Technical University of Lisbon, Lisboa, Portugal
2145306503;J. Varela;University of Economics
2329386770;Brian Thomas;School of Computer Science and Technology, Shandong University, Jinan, China, Shandong Youth University of Political Science, Jinan, China#TAB#
1937671122;Robin G. Qiu;INRIA Paris Rocquencourt, France
2009620423;Eyck Jentzsch;"University of California Los Angeles; Los Angeles CA"
2125097014;Yee S. Ng;Ryerson University - Toronto, Canada
1636115378;Radu Jurca;Univ. of Bamberg
2499281746;Jana-Eva Dietel;ERIC Laboratory, Lumière Lyon2 University, France#TAB#
2635560269;Daniel F. Schwarz;Vrije Universiteit Brussel
2026678996;Thilo Schuler;Department of Computing Science, University of Aberdeen, Scotland, UK
2404122492;Jürgen Zimmermann;Orange Labs
2117665592;G. Earl;Teenage & Young Adult Cancer Service, University of Southampton Hospital NHSFT, UK#TAB#
1991083601;Robson do Nascimento Fidalgo;University of Antwerp
2555091219;Clement J. McDonald;Technische Universität Braunschweig
2154702025;Álvaro F. Moreira;Centre for Learning Sciences and Technologies CELSTEC, Open University of the Netherlands, Heerlen, The Netherlands#TAB#
2101052408;Ricardo Jorge Machado;University of Innsbruck Innsbruck Austria
2640639381;Håkan Millroth;Linz, Austria
2067580452;Enric Martí;Duke Univ., Durham, NC
2068378787;Silvia Schacht;Dalian University of Technology,
2124081924;Hui Shi;Lab. de Recherche en Informatique, Univ.äParis-Sud, CNRS, Orsay, France#TAB#
1733246268;Joel Crestel;Institute of Informatics, Wrocław University of Technology, Poland#TAB#
2154580910;Michel Comeau;Tallinn University of Technology
7762232;Alessandro Saetti;Kyushu Institute of Information Sciences
2585408866;Tao Jiang;School of Electrical engineering and Automation, Harbin Institute of Technology, (China)
2341719684;Chao Shen;University of Salzburg , Austria
2404438944;Milos Zelezný;Shimizu Corp.
2304710423;Birgit Bomsdorf;Universiti Tun, Hussein Onn Malaysia
2060531351;Hans-Georg Beyer;Electrical and Computer Engineering Department, University of Waterloo , Waterloo, Ontario , Canada
2255728420;Michael B. Wrigley;National Research Council (Italy)
2169514383;J. Guadalupe Ramos;Intelligent Systems and Business Informatics, University of Klagenfurt#TAB#
2335449142;R. Moura;Air Force Flight Test Center, Edwards AFB
2113126795;Juan Trujillo;University of Sydney
2099072619;Herbert Werner;University Medical Center, Utrecht#TAB#
2104401652;Andrew Y. Ng;Univ. of Western Ontario#TAB#
2015537985;Debra Howcroft;University of Southern Queensland,
1509219429;Rokia Missaoui;National Mediation Board, Washington, D.C.#TAB#
2105920756;Soledad Valero;Computer and Information Science, University of Pennsylvania, Philadephia, PA 19104, USA
2169227481;Yoichi Yamamoto;Loughborough University UK
2672241525;Eva Ulbrich;University of Mannheim#TAB#
2403176412;Frank Hermel;Institute of Informatics, Wrocław University of Technology, Poland#TAB#
75077956;Nikos Triandopoulos;Kurukshetra university
2546442627;David Forslund;Complex systems group, Autonomous University of Mexico City, Mexico City, MEX#TAB#
2407121248;I. Arieh Cimet;Department of Organizational Leadership and Strategy, Brigham Young University
2154710404;Vincenza Snow;Department of Automation Shanghai Jiaotong University Shanghai China
59090315;Michael Kohlhase;LARODEC Laboratory, ISG of Tunis
2973510153;Seon-Whan Lee;Escuela Superior de Ingenieros, Sevilla, Spain#TAB#
2648071409;W. Homer Carlisle;Computer Technology Solution
2155287112;Zhi-Hong Deng;Shanghai#N#                            University
2407880555;Mohan Bheemasenarao;Department of Educational and Counselling Psychology McGill University
2059413172;Roger Calnan;Carnegie - Mellon University#TAB#
2151243420;Edward L. Robertson;Princeton University *
2029252525;Dmitry P. Vetrov;"Universidad de Valencia;"
2129585006;Cindy Casey;Cognitive Interaction Technology, Center of Excellence and Applied Informatics, Faculty of Technology, Bielefeld University, Bielefeld, Germany#TAB#
2087676625;Emilio Muñoz-Velasco;“Sapienza”, University of Rome
2892687424;Thérèse Hardin;Macedonian Academy of Sciences and Arts
2155626625;Wenke Lee;Purdue University
1858401508;Domenico Redavid;Umist
704409181;M. N. Spijker;CETIR Centre Mèdic, Barcelona, Spain#TAB#
2500415381;Xiaolei Li;Karadeniz Technical Univ.
125525011;Hisao Tokushima;U. Prof. Adolfo López Mateos
2406205780;Christian Eichinger;Synopsys, India
140398001;Hani Safadi;Honorary Visiting Professor, Center for Soft Computing Research, Indian Statistical Institute, Kolkata, India & UGC Visiting Professor, Centre for Cognitive Science Jadavpur University, Kolkat ...#TAB#
2050513747;Shin-ya Nishizaki;College of Information Science and Engineering, Northeastern University, Liaoning, China
2974064500;Raul Alonso-Moreno;Dpt. Automática y Computación, Univ. Pública de Navarra, Spain#TAB#
699984893;Elena Dubrova;IEEE Computer Society
2172723547;Grégoire Malandain;Ca’ Foscari, University of Venice
2125844241;Daesik Hong;National Digital Switching System Engineering & Technological Research Center
2974607337;Joël Brunet;Bilkent university,Ankara, Turkey
2128584096;Zheng-Hua Tan;Department of Internal Medicine, Hospital Santa Creu i Sant Pau, Barcelona, Spain#TAB#
2343936063;P. R. Kumar;Association for Computing Machinery#TAB#
2505557566;James Gerlach;Department of Biology, University of Florida#TAB#
2312748593;Alexandre Lecours;"Forschungszentrum Jülich;"
2238274355;José R. Martí;Faculty of Electrical Engineering, The Gerstner Laboratory, Czech Technical University in Prague, Prague 6, Czech Republic 166 27#TAB#
2402585141;Gioachino Colombrita;Universidade Federal Fluminense,
1262027015;Sherif M. Yacoub;Dongyang Mirae University
2055683646;Kaan Onarlioglu;Dipartimento di Matematica ed Informatica, Universití degli Studi di Palermo, Palermo, Italy#TAB#
2008405047;Stefania Funari;IBM
2151654194;Seon-Ku Cho;National Tsing Hua University, Hsin chu, Taiwan#TAB#
2137059325;Zhenchao Cui;Univ. of Western Ontario#TAB#
2127626280;Alberto Tofani;Department of Computer Science, Humboldt University of Berlin, Berlin, Germany#TAB#
1968790287;András Pluhár;Hiroshima University#TAB#
2114327378;Celina M. Herrera de Figueiredo;Intelligent Vision Systems Group, University of Bonn, Germany#TAB#
2046785095;Stephan Zednik;Department of Mechanical Engineering, KAIST Daejeon, Republic of Korea
1973117381;Markus Iseli;Max-Planck-Institut fur Stromungsforschung,
2147277912;Jiali Choy;Computational Linguistics Ltd
2557910308;Jiban Khuntia;Northeastern, University
2106451284;Reeva Lederman;Leibniz Institute of Plant Genetics and Crop Plant Research, Gatersleben, Germany.
2225186097;João Paulo da Silva Cunha;Dept. of Inf. Syst., Univ. of Munster, Munster, Germany
2620003382;Christoph Grimm;Dept. of Computer and Information Systems, University of Strathclyde, Glasgow, UK#TAB#
2109336725;Xiaochun Yang;University of Massachusetts: Amherst, Amherst, MA
2989398506;Denis Manelski;Information Systems
2139313784;Tomohisa Yamashita;Ecole Centrale de Paris
2169917266;Martin Jaggi;Department of Computer Science, Faculty of Engineering, Yamanashi University, Kofu, Japan#TAB#
2772138682;Marco Pota;Beijing Electromechanical Engineering Institute
2273707136;Κυριάκος Κρητικός;Communications Research Group, University of Sussex, Brighton, United Kingdom
2984510050;Fernando de Ferreira Rezende;Busitema University , Tororo , Uganda
252775750;Gavin Finnie;Korea Advanced Institute Of Science and Technology
1998260123;Vadim Bulitko;"International Institute of Information Technology, Hyderabad;"
2019958202;Cécile Million-Rousseau;Honorary Visiting Professor, Center for Soft Computing Research, Indian Statistical Institute, Kolkata, India & UGC Visiting Professor, Centre for Cognitive Science Jadavpur University, Kolkat ...#TAB#
2380037463;David M. Lewis;Department of Information Systems and Business Administration, Johannes Gutenberg-Universität Mainz, Jakob-Welder-Weg 9, Mainz 55128, Germany
2796529389;Jean Fonlupt;Dept. of Signal Theory and Communications, Universitat Politècnica de Catalunya, Spain#TAB#
2154474979;Özlem Öztürk;Turku Centre for Computer Science - TUCS, Department of Information Technologies, Åbo Akademi University, Turku, Finland and European Central Bank, Kaiserstrasse, Frankfurt am Main, Germany#TAB#
1185960611;Mirko Streckenbach;Busitema University , Tororo , Uganda
2061961804;Robert Neßelrath;Hungarian Academy of Sciences.
2403266594;Nicholas Sporck;Macedonian Academy of Sciences and Arts
40180715;Manfred Tscheligi;(Pennsylvania State University)#TAB#
2491547804;Sanghyup Lee;School of Engineering and, Advanced Technology, Massey University, New Zealand
8135979;Enrico Formenti;Singapore University of Technology & Design
2152533085;Jeongho Park;Korea Advanced Institute Of Science and Technology
2019995685;Armin Eberlein;#N##TAB##TAB##TAB##TAB# University of Liverpool#N##TAB##TAB##TAB#
2789036184;Robert A. Reckhow;Brown University
2336405936;Alexander Steinecker;Kenteq b.v.
2174205032;Vasif V. Nabiyev;McGill University
2096382235;Sven A. Carlsson;Technische Universität, München, Germany
2161678426;Michal Zaremba;(Keio University)
324519408;Dimitris Achlioptas;Massachusetts General Hospital, Boston, USA,
867954438;Osvaldo Cairo;RIKEN
2633729552;F. Bremsak;Microsoft Research, Asia, China
2056441798;Sushil Jajodia;Kyushu Institute of Information Sciences
2034295331;Robert P. Mahan;Nippon Hoso Kyokai
2497519852;N. Priya;Fondazione Centro San Raffaele del Monte Tabor
2638780460;Gordon Jameson;University of Namur,
1104177816;Krzysztof Skabek;(Correspd. E-mail: ajay_phy@rediffmail.com) Department of Physics, Panjab University, Chandigarh, India
716314097;Ilia Bider;UNIVERSITY OF BARI
2570911630;Matthew R. Jones;University of Vigo
2160653350;Lifeng He;Department of Computer Science and HIIT, University of Helsinki, Finland.
1948953388;Itala M. Loffredo D'Ottaviano;Philips Research Medisys
2130840322;Jim E. Greer;Department of Industrial Education
2047666522;Jude T. Lubega;CIRAD - AMAP
2108392575;Per Lindgren;Chu Shang Show Chwan Hospital, Taiwan, R.O.C#TAB#
2477831969;Wolfgang Fischer;
319591726;Koldo Gojenola;Institute of Informatics, Wrocław University of Technology, Poland#TAB#
1944438646;David K. Vawdrey;Computer Science
2104445069;Changliang Li;Computer and Information Science, University of Pennsylvania, Philadephia, PA 19104, USA
2338213376;Aristides Dikos;Department of Computer Science, Universidade de São Paulo, Brazil
2696075108;Vinod K. Agarwal;Delhi Technological Univ.
2605206557;Barbara G. F. Cohen;Hebei University of Science and Technology
2111495032;Marcelo F. Frias;The Tramshed
298193029;Raphaëlle Chaine;University of Bremen, University of Münster, Germany#TAB#
2078276253;Sonja Filiposka;Montreal, Canada
2181385625;Lin-Shan Lee;Department of Computer Science and HIIT, University of Helsinki, Finland.
125550349;Mirko Navara;Wrocław University, of Technology
2343154467;Chris I. Taylor;Laboratoire des Signaux et Systèmes (LSS), Université de Versailles-St-Quentin, Gif-sur-Yvette cedex, France
32547045;Virginio Cantoni;Research and Technology, Grundfos Management A/S
2471798508;Roberto Iglesias;Department of Automation, University of Science and Technology of China, China,Institute of Automation, National Laboratory of Pattern Recognition, Beijing, P.R. China#TAB#
2145505336;Luis Eduardo Mendoza;Dipartimento di Scienze, Teoriche e Applicate - Sezione Informatica, Universití degli Studi dell'Insubria, Varese, Italy#TAB#
2165638021;Dietmar Meister;Technische Universität Darmstadt,
2506894982;Antonio Di Pietro;Tianjin Normal University
213171300;Piotr Kulczycki;Barcelona Digital Technology Centre
2095103340;Ashley L. Podhradsky;PRISMA Lab, Department of Electrical Engineering and Information Technology, Universit di Napoli Federico II, Napoli, Italy#TAB#
2060698562;Olivier Lambercy;University of Bremen
2097373568;Ravi Khadka;Institute of Intelligent Information Processing and National Key Laboratory for Radar Signal Processing, Xidian University, Xi'an, Shaanxi, China#TAB#
1987110578;Yun Sing Koh;Escuela Superior de Ingenieros, Sevilla, Spain#TAB#
2141742073;Solomon Negash;Department of Computer Science Loughborough University Loughborough, U.K.
2260362449;Bo Tang;University of Cape Town
2628854822;Li Gan;Nuremberg Institute of Technology
308868717;Costas Vassilakis;Institute of Telematics, University of Lübeck, Lübeck, Germany#TAB#
2508728989;August-Wilhelm Scheer;Department of Automatic Control and Information Technology, Cracow University of Technology, Cracow, Poland#TAB#
424419341;Gérard Subsol;Nanyang Technological University
2776968141;W. Nathaniel Mills;Department of Mathematics and Computer Science, University of the Balearic Islands, Palma de Mallorca (Spain)
2723723847;Dietrich Thie;UQAM
2420712277;Xiang Sean Zhou;#N##TAB##TAB##TAB##TAB# University of Liverpool#N##TAB##TAB##TAB#
2441683438;Yu Guo;Kaohsiung CianFong Junior High School
1707432895;Andrzej Rydzewski;University of Tsukuba
2163341010;Gongping Yang;Tokyo Inst. of tech.
2104360253;Yudong Liu;Department of Industrial Engineering and Management, Tokyo Institute of Technology , Tokyo, Japan
2322421307;Yutao Ma;Copenhagen Business School#TAB#
2009051901;Carsten Schulte;National Digital Switching System Engineering & Technological Research Center
1973445679;Gerd Kaupp;VTT-Technical Research Centre of Finland
2137067343;Robert Winter;FACCAMP, Campo Limpo Paulista, SP, Brazil#TAB#
2137690760;Lirong Xia;臨床工学科
2401323722;Georges Bloch;Division of Mathematical Sciences, School of Physical Mathematical Sciences, Nanyang Technological University, Singapore#TAB#
2703857419;Zhenbing Wang;ETH Zürich, Institut für Informatik, Zürich, Deutschland
2966448098;Chulhee Lee;University of New Brunswick
2715686464;Qingrui Liu;School of Information Science & Engineering, Central South University, P.R. China,Department of Computer Science and Engineering, Texas A&M University#TAB#
2985993671;Bo Xu;• Duke University#TAB#
2102122772;Giancarlo Mauri;Korea Advanced Institute Of Science and Technology
2316496857;B. K. Bog;Technische Universität, München, Germany
2276174343;Bruno Siciliano;Institut für Geometrie, Technische Universität Wien, Wien, Austria
2607612517;Rolf Nossum;Artificial Intelligence Center, The University of Georgia, Athens, GA 30602, USA
202373126;Dave Abberley;School of Industrial Engineering & Management, Oklahoma State University, Stillwater,
2102810427;Elizabeth Thiry;University of Bremen, University of Münster, Germany#TAB#
2041877622;Arkadiusz Cacko;Fondazione Istituto Auxologico Italiano
2639985276;Yaoyi Xi;Cheriton School of Computer Science, University of Waterloo,
2102943653;Kiyoshi Yoshimoto;Bioinformatics Laboratory, Federal Technological University of Paraná, Curitiba, Brazil#TAB#
2109237509;Satoshi Tojo;Massey University
2125642118;Yoseop Woo;City University of Hong Kong
2645006587;Chung-Hui Kuo;Unitec  Institute of Technology
2518645713;Dong Han;Faculty of Mathematics and Information Science, Warsaw University of Technology, Warsaw and Faculty of Mathematics and Computer Science, University of Bialystok, Bialystok, Poland#TAB#
2274044327;Donna Williamson;Association for Computing Machinery#TAB#
2067243335;Natasha Alechina;"College of Computer Science; Wuhan University; Wuhan China"
2157644693;Justie Su-tzu Juan;†University of Innsbruck
2684213863;Kiyoshi Nakabayashi;Department of Philosophy, University of Alberta, Edmonton, Canada#TAB#
2232468586;M. Howard Williams;Northwestern Polytechnical University
2303331168;Sebastian Burckhardt;Cognitive Interaction Technology, Center of Excellence, Bielefeld University, Bielefeld, Germany and Graduate School of Engineering, Osaka University, Suita, Osaka, Japan#TAB#
2123893120;Johan Schalkwyk;Department of Computer Science and Technology, BESU, West Bengal, India#TAB#
2046505287;Duncan S. Wong;Graz University of Technology
2557597599;A. K. Hudson;Qingdao University
2104129307;Dacheng Tao;University of West Bohemia
2717359462;Neville A. Stanton;Erasmus University
2073914521;Giovanni Felici;Dept. of Signal Theory and Communications, Universitat Politècnica de Catalunya, Spain#TAB#
2801637014;Mohammad R. Hashemian;DIRO, Universite de Montreal
2142388372;Jürgen Ruf;Laboratoire des Signaux et Systèmes (LSS), Université de Versailles-St-Quentin, Gif-sur-Yvette cedex, France
2641149705;Hannes Mögele;Maharaja Surajmal Institute of Technology
2438786456;Irfan Siap;Dept. of Comp. Sci., Duke University, Durham, NC 27708-0129#TAB#
2116226392;Krzysztof Ciesielski;FH Wedel, University of Applied Sciences, Wedel, Germany
738035101;Tsukasa Kawaoka;"University of California Los Angeles; Los Angeles CA"
1351879188;Daisuke Takaoka;Leibniz Institute of Plant Genetics and Crop Plant Research, Gatersleben, Germany.
2005242334;Annika Hinze;SPMS, Nanyang Technological University, Singapore
2664229957;Gilles Baroin;University Instituute of Engineering and Technology
2092011127;Makoto Nagao;Helsinki University of Technology
2843117391;Byung Woo Yoon;Universidade Estácio de Sá - Rio de Janeiro.
2374910708;J. R. Miihlbacher;University of Bari “Aldo Moro
2617015937;Rogier Prince;Linz, Austria
2577792503;James Kelley;Humboldt-UniversitäT Zu Berlin
2159253281;Yiming Yang;Hiroshima University#TAB#
1900194429;P. G. Diwakar;, IIT Bombay#TAB#
2306952341;Atish Das Sarma;Indian Institute of Management, Bangalore.
2619848081;Hongyu Zhang;Adaptive Informatics Research Centre. Aalto University, Espoo, FIN and Complex systems group, Autonomous University of Mexico City, Mexico City, MEX#TAB#
2681931737;Yi-Fei Zhu;University of Duisburg-Essen and Locoslab GmbH
2056631740;Apostolos Traganitis;Barcelona Digital Technology Centre
600349154;Jayanthi Sivaswamy;Universidade Federal de Pernambuco. Recife, Pernambuco
2973385246;Cynthia A. Funka-Lea;Barcelona Media Innovation Centre, planta, Barcelona#TAB#
2101552792;Li Deng;School of Industrial Engineering, Purdue University, West Lafayette, USA IN 47907#TAB#
1999268070;Michaël Petit;Department of Electronics and Communication Engineering National, Institute of Technology, Calicut, India
2011763083;David W. Aha;RMIT University
2694675758;Peng Li;Marketing Center Münster, University of Münster, Münster, Germany#TAB#
2915771135;Marina Petrova;Fondazione Istituto Auxologico Italiano
2662647777;He Feng;DELCO ELECTRONICS CORP
2137802269;Yi-Min Wang;Johannes Kepler Univ., Linz
2140998141;Eun-Jun Yoon;Chongqing Jiaotong University
177951892;Helmut Pottmann;Kunming University of Science, and Technology
126515232;Carlos Merino-Gracia;Taibah University
2485618533;Christopher Goodwin;Faculty of Human Science, Toyo Eiwa University, Kanagawa, Japan
2028688391;Michael Morak;TU WIEN
2561896711;Priya Singh;University of Milano-Bicocca
2524404606;Hui Wang;Department of Computer Science and Technology, China University of Geosciences, Wuhan, China
2309184367;Tatsuya Yamaguchi;Technische Universität Darmstadt,
2105486404;Mahdi Naghibi;.Universidade de São Paulo, São Paulo, Brazil
2310065723;Chen Wu;University of Bremen, University of Münster, Germany#TAB#
